
"L'"bounds: (13,10),(28,10),(28,27),(13,27)
"OREAL"bounds: (30,8),(129,8),(129,28),(30,28)
"欧莱雅"bounds: (135,11),(198,11),(198,25),(135,25)
"授权"bounds: (199,10),(235,10),(235,25),(199,25)
"专卖店"bounds: (238,10),(292,10),(292,25),(238,25)
"PARIS"bounds: (50,32),(85,32),(85,39),(50,39)
"REVITALIFT"bounds: (219,111),(327,111),(327,125),(219,125)
"ANTI-WRINKLE"bounds: (218,147),(280,147),(280,153),(218,153)
"FIRMING"bounds: (288,147),(326,147),(326,153),(288,153)
"DAY"bounds: (218,155),(234,155),(234,160),(218,160)
"CREAM"bounds: (238,155),(268,155),(268,160),(238,160)
"欧莱雅"bounds: (217,168),(243,168),(243,176),(217,176)
"复"bounds: (245,168),(253,168),(253,176),(245,176)
"颜"bounds: (255,168),(262,168),(262,176),(255,176)
"抗皱"bounds: (266,168),(282,168),(282,176),(266,176)
"紧致"bounds: (284,168),(301,168),(301,176),(284,176)
"滋润"bounds: (303,168),(320,168),(320,176),(303,176)
"日霜"bounds: (321,168),(337,168),(337,176),(321,176)
"REVITALIFT"bounds: (162,277),(260,277),(260,289),(162,289)
"ANTI-WRINKLE+FIRMING"bounds: (163,308),(260,308),(260,313),(163,313)
"NIGHT"bounds: (163,316),(186,316),(186,321),(163,321)
"CREAM"bounds: (189,316),(215,316),(215,321),(189,321)
"欧莱雅"bounds: (163,327),(185,327),(185,334),(163,334)
"复"bounds: (187,328),(193,328),(193,334),(187,334)
"颜"bounds: (195,327),(202,327),(202,334),(195,334)
"抗皱"bounds: (205,327),(220,327),(220,334),(205,334)
"紧致"bounds: (222,327),(236,327),(236,334),(222,334)
"滋润"bounds: (238,327),(253,327),(253,334),(238,334)
"晚霜"bounds: (253,327),(269,327),(269,334),(253,334)
"券"bounds: (20,347),(40,347),(40,366),(20,366)
"后"bounds: (42,347),(63,347),(63,366),(42,366)
"价"bounds: (65,346),(85,346),(85,367),(65,367)
":"bounds: (89,350),(93,350),(93,365),(89,365)
"299"bounds: (8,373),(101,373),(101,419),(8,419)
"日夜"bounds: (147,389),(204,389),(204,416),(147,416)
"呵护"bounds: (209,388),(269,388),(269,416),(209,416)
"重塑"bounds: (282,389),(344,389),(344,416),(282,416)
"美肌"bounds: (348,389),(409,389),(409,416),(348,416)
