
"LOREAL"bounds: (9,5),(124,5),(124,25),(9,25)
"!"bounds: (130,7),(133,7),(133,25),(130,25)
"欧莱雅"bounds: (138,7),(193,7),(193,21),(138,21)
"授权"bounds: (195,7),(231,7),(231,22),(195,22)
"专卖店"bounds: (233,7),(288,7),(288,22),(233,22)
"PARIS"bounds: (46,30),(81,30),(81,37),(46,37)
"13"bounds: (246,100),(261,100),(261,113),(246,113)
"买"bounds: (265,101),(277,101),(277,112),(265,112)
"即送"bounds: (279,100),(308,100),(308,112),(279,112)
"复"bounds: (310,100),(322,100),(322,112),(310,112)
"颜"bounds: (325,100),(338,100),(338,112),(325,112)
"日霜"bounds: (341,100),(368,100),(368,112),(341,112)
"25ml"bounds: (370,101),(403,101),(403,112),(370,112)
"热"bounds: (89,142),(101,142),(101,154),(89,154)
"巴"bounds: (89,161),(101,161),(101,173),(89,173)
"同"bounds: (89,180),(104,180),(104,193),(89,193)
"赠"bounds: (235,197),(257,197),(257,220),(235,220)
"REVITALIFT"bounds: (268,260),(361,260),(361,272),(268,272)
"E"bounds: (319,290),(323,290),(323,295),(319,295)
"+"bounds: (325,291),(328,291),(328,294),(325,294)
"DAY"bounds: (268,297),(282,297),(282,302),(268,302)
"CREAM"bounds: (285,297),(311,297),(311,302),(285,302)
"欧莱雅"bounds: (268,309),(290,309),(290,315),(268,315)
"复"bounds: (292,309),(297,309),(297,316),(292,316)
"颜"bounds: (299,309),(306,309),(306,316),(299,316)
"抗皱"bounds: (309,309),(323,309),(323,315),(309,315)
"紧致"bounds: (325,309),(339,309),(339,315),(325,315)
"滋润"bounds: (340,309),(355,309),(355,315),(340,315)
"日霜"bounds: (357,309),(370,309),(370,315),(357,315)
"市场价"bounds: (23,336),(51,336),(51,345),(23,345)
"¥"bounds: (54,337),(60,337),(60,344),(54,344)
"340"bounds: (62,336),(81,336),(81,345),(62,345)
"石"bounds: (45,353),(56,353),(55,365),(44,365)
"价"bounds: (58,353),(74,354),(73,366),(57,365)
":"bounds: (78,353),(81,353),(81,363),(78,363)
"券"bounds: (23,349),(39,350),(38,366),(22,365)
"后"bounds: (41,349),(57,350),(56,366),(40,365)
"价"bounds: (58,348),(75,349),(73,366),(57,365)
":"bounds: (79,352),(83,352),(82,364),(78,364)
"实"bounds: (129,358),(154,358),(154,374),(129,374)
"发"bounds: (156,357),(173,357),(173,374),(156,374)
"玻尿酸"bounds: (175,358),(230,358),(230,374),(175,374)
"导入"bounds: (232,358),(267,358),(267,374),(232,374)
"眼霜"bounds: (269,358),(304,358),(304,374),(269,374)
"15ml"bounds: (307,358),(350,358),(350,373),(307,373)
"239"bounds: (9,370),(113,374),(111,429),(7,425)
"提拉"bounds: (150,391),(206,391),(206,417),(150,417)
"紧致"bounds: (210,391),(265,391),(265,417),(210,417)
"平抚"bounds: (288,391),(344,391),(344,417),(288,417)
"细纹"bounds: (346,391),(403,391),(403,417),(346,417)
