
"LOREAL"bounds: (9,6),(125,6),(125,26),(9,26)
"!"bounds: (131,8),(133,8),(133,26),(131,26)
"欧莱雅"bounds: (139,8),(194,8),(194,23),(139,23)
"授权"bounds: (196,8),(232,8),(232,23),(196,23)
"专卖店"bounds: (234,8),(288,8),(288,23),(234,23)
"PARIS"bounds: (47,29),(82,31),(82,39),(47,37)
"送"bounds: (261,147),(279,147),(279,165),(261,165)
"精油"bounds: (281,147),(321,147),(321,164),(281,164)
"小样"bounds: (324,146),(364,146),(364,165),(324,165)
"""bounds: (367,148),(376,148),(376,163),(367,163)
"2"bounds: (377,148),(387,148),(387,163),(377,163)
"片"bounds: (390,147),(407,147),(407,164),(390,164)
"L'ORÉAL"bounds: (31,161),(90,161),(90,172),(31,172)
"L'OREAL"bounds: (141,160),(203,160),(203,172),(141,172)
"赠"bounds: (267,206),(292,206),(292,232),(267,232)
"仅需"bounds: (57,242),(112,237),(114,264),(59,269)
"54"bounds: (114,236),(151,233),(153,260),(116,263)
"元"bounds: (153,232),(181,230),(183,255),(155,258)
"巴黎"bounds: (41,292),(57,292),(57,300),(41,300)
"欧莱雅"bounds: (59,292),(85,292),(85,300),(59,300)
"奇"bounds: (36,302),(43,302),(43,309),(36,309)
"煥"bounds: (44,302),(52,302),(52,309),(44,309)
"滇"bounds: (55,301),(63,301),(63,309),(55,309)
"发"bounds: (64,302),(71,302),(71,309),(64,309)
"精"bounds: (73,302),(80,302),(80,309),(73,309)
"巴黎"bounds: (152,292),(168,292),(168,299),(152,299)
"欧莱雅"bounds: (170,292),(198,292),(198,299),(170,299)
"奇"bounds: (146,302),(154,302),(154,310),(146,310)
"焕"bounds: (156,302),(164,302),(164,309),(156,309)
"滇"bounds: (166,302),(175,302),(175,309),(166,309)
"发"bounds: (176,302),(183,302),(183,309),(176,309)
"精油"bounds: (186,302),(204,302),(204,310),(186,310)
"抹"bounds: (144,392),(168,392),(168,417),(144,417)
"柔顺"bounds: (170,392),(225,392),(225,416),(170,416)
"不"bounds: (233,394),(259,394),(259,416),(233,416)
"油腻"bounds: (259,392),(313,392),(313,417),(259,417)
