
"LOREAL"bounds: (12,9),(128,9),(128,29),(12,29)
"|"bounds: (134,11),(136,11),(136,29),(134,29)
"欧莱雅"bounds: (142,11),(196,11),(196,26),(142,26)
"授权"bounds: (198,11),(235,11),(235,26),(198,26)
"专卖店"bounds: (237,12),(291,12),(291,26),(237,26)
"PARIS"bounds: (50,34),(85,34),(85,42),(50,42)
"“"bounds: (191,36),(195,36),(195,39),(191,39)
"三孔"bounds: (197,36),(218,36),(218,46),(197,46)
"喷头"bounds: (220,36),(241,36),(241,46),(220,46)
"”"bounds: (243,36),(246,36),(246,39),(243,39)
"INSTAN"bounds: (103,105),(134,105),(134,110),(103,110)
"HOLD"bounds: (102,113),(124,113),(124,119),(102,119)
"买"bounds: (223,131),(256,131),(256,160),(223,160)
"一"bounds: (265,142),(297,142),(297,147),(265,147)
"送"bounds: (306,131),(339,131),(339,159),(306,159)
"五"bounds: (348,132),(381,132),(381,159),(348,159)
"OREAL"bounds: (55,161),(140,165),(139,184),(54,180)
"MEN"bounds: (51,184),(78,184),(78,194),(51,194)
"EXPERT"bounds: (83,184),(138,184),(138,194),(83,194)
"欧莱雅"bounds: (65,201),(101,201),(101,211),(65,211)
"男士"bounds: (104,201),(124,201),(124,211),(104,211)
"送"bounds: (219,172),(230,172),(230,184),(219,184)
"男士"bounds: (232,172),(256,172),(256,184),(232,184)
"面膜"bounds: (257,173),(282,173),(282,184),(257,184)
"*"bounds: (284,173),(288,173),(288,176),(284,176)
"2"bounds: (290,173),(296,173),(296,183),(290,183)
"+"bounds: (297,175),(302,175),(302,181),(297,181)
"欧莱雅"bounds: (305,173),(342,173),(342,184),(305,184)
"小样"bounds: (343,172),(367,172),(367,184),(343,184)
"""bounds: (370,173),(375,173),(375,183),(370,183)
"3"bounds: (376,173),(381,173),(381,183),(376,183)
"送"bounds: (211,212),(237,212),(237,238),(211,238)
"ice"bounds: (269,257),(314,261),(312,282),(267,278)
"("bounds: (348,272),(353,272),(352,287),(347,287)
"款式"bounds: (354,271),(386,274),(385,289),(353,286)
"随机"bounds: (386,271),(418,274),(417,289),(385,286)
")"bounds: (418,273),(424,274),(423,287),(417,287)
"MEN"bounds: (266,282),(281,282),(281,287),(266,287)
"EXPERT"bounds: (284,282),(314,282),(314,287),(284,287)
"定型"bounds: (67,289),(87,289),(87,298),(67,298)
"三孔"bounds: (89,289),(111,289),(111,298),(89,298)
"喷雾"bounds: (113,288),(131,288),(131,298),(113,298)
"L'OREAL"bounds: (322,305),(366,305),(366,314),(322,314)
"MEI"bounds: (298,315),(310,315),(310,320),(298,320)
"MEN"bounds: (322,315),(338,315),(338,320),(322,320)
"EXPERT"bounds: (341,315),(370,315),(370,320),(341,320)
"coc"bounds: (241,332),(259,332),(259,338),(241,338)
"OIL"bounds: (241,342),(256,342),(256,349),(241,349)
"("bounds: (256,343),(259,343),(259,349),(256,349)
"保温"bounds: (271,342),(285,342),(285,350),(271,350)
"保溫"bounds: (296,342),(310,342),(310,350),(296,350)
"保湿"bounds: (321,342),(338,342),(338,350),(321,350)
"滋润"bounds: (340,342),(357,342),(357,350),(340,350)
"乳"bounds: (359,342),(367,342),(367,350),(359,350)
".gREA"bounds: (380,345),(409,345),(409,351),(380,351)
"耐士"bounds: (240,360),(256,360),(256,367),(240,367)
"防"bounds: (127,333),(132,333),(132,341),(127,341)
"男士"bounds: (241,370),(252,370),(252,375),(241,375)
