
"OREAL"bounds: (25,7),(124,7),(124,27),(25,27)
"欧莱雅"bounds: (138,9),(193,9),(193,24),(138,24)
"授权"bounds: (195,9),(231,9),(231,24),(195,24)
"专卖店"bounds: (233,9),(287,9),(287,24),(233,24)
"PARIS"bounds: (45,31),(80,33),(80,40),(45,38)
"·"bounds: (239,109),(247,109),(247,115),(239,115)
"控油"bounds: (256,96),(325,96),(325,127),(256,127)
"水润"bounds: (331,96),(399,96),(399,127),(331,127)
"长效"bounds: (258,144),(327,147),(326,179),(257,176)
"持"bounds: (331,145),(363,146),(362,177),(330,176)
"妆"bounds: (368,145),(400,146),(399,177),(367,176)
"LORÉAL"bounds: (105,118),(156,118),(156,129),(105,129)
"寸"bounds: (343,160),(362,161),(361,177),(342,176)
"LLU"bounds: (123,195),(131,195),(131,203),(123,203)
"102"bounds: (141,195),(171,195),(171,203),(141,203)
"會"bounds: (302,199),(319,200),(318,217),(301,216)
"买一送一"bounds: (323,201),(394,205),(393,221),(322,217)
"甯"bounds: (306,205),(320,205),(320,219),(306,219)
"买一送一"bounds: (323,205),(394,204),(394,219),(323,220)
"REE"bounds: (118,299),(127,299),(127,304),(118,304)
"SAN"bounds: (131,299),(142,299),(142,304),(131,304)
"赠"bounds: (258,397),(268,397),(268,406),(258,406)
"化妆刷"bounds: (270,397),(301,397),(301,407),(270,407)
"+"bounds: (303,400),(307,400),(307,405),(303,405)
"美"bounds: (309,398),(318,398),(318,407),(309,407)
"妆"bounds: (320,398),(329,398),(329,407),(320,407)
"蛋"bounds: (331,397),(340,397),(340,407),(331,407)
