
"LOREAL"bounds: (12,6),(128,6),(128,26),(12,26)
"|"bounds: (134,8),(136,8),(136,26),(134,26)
"欧莱雅"bounds: (142,8),(196,8),(196,22),(142,22)
"授权"bounds: (198,8),(235,8),(235,23),(198,23)
"专卖店"bounds: (237,8),(291,8),(291,23),(237,23)
"PARIS"bounds: (49,29),(84,31),(84,39),(49,37)
"蕾丝"bounds: (98,60),(152,60),(152,85),(98,85)
"版"bounds: (156,60),(181,60),(181,85),(156,85)
"限量"bounds: (186,61),(241,61),(241,85),(186,85)
"气垫"bounds: (245,60),(301,60),(301,85),(245,85)
"盒"bounds: (304,61),(330,61),(330,85),(304,85)
"红"bounds: (206,99),(221,99),(221,113),(206,113)
"胖子"bounds: (223,99),(254,99),(254,114),(223,114)
"同"bounds: (256,99),(271,99),(271,114),(256,114)
"款"bounds: (273,99),(288,99),(288,114),(273,114)
"替换"bounds: (290,99),(321,99),(321,114),(290,114)
"芯"bounds: (324,99),(339,99),(339,114),(324,114)
"价值"bounds: (368,185),(383,186),(383,193),(368,192)
"¥"bounds: (364,198),(368,198),(368,203),(364,203)
"199"bounds: (370,195),(388,196),(388,204),(370,203)
"LOREAL"bounds: (96,227),(167,225),(168,245),(97,247)
"LOREAL"bounds: (296,235),(359,244),(358,254),(295,245)
"PARIS"bounds: (122,241),(146,242),(146,247),(122,246)
"券"bounds: (18,350),(35,351),(34,365),(17,364)
"价"bounds: (56,349),(72,350),(71,365),(55,364)
","bounds: (78,353),(107,356),(105,376),(76,374)
"219"bounds: (5,366),(99,371),(97,414),(3,409)
"后"bounds: (38,349),(50,350),(49,366),(37,365)
"详情"bounds: (125,359),(166,363),(164,381),(123,377)
"领"bounds: (172,362),(190,364),(189,380),(171,378)
"券"bounds: (196,362),(214,364),(213,380),(195,378)
"限量"bounds: (125,398),(165,398),(165,416),(125,416)
"版"bounds: (167,398),(187,398),(187,416),(167,416)
"蕾丝"bounds: (189,397),(231,397),(231,416),(189,416)
"盒"bounds: (232,397),(253,397),(253,416),(232,416)
"+"bounds: (255,401),(266,401),(266,412),(255,412)
"同"bounds: (268,398),(286,398),(286,416),(268,416)
"款"bounds: (289,397),(309,397),(309,416),(289,416)
"同"bounds: (312,398),(330,398),(330,416),(312,416)
"色"bounds: (333,397),(352,397),(352,416),(333,416)
"替换"bounds: (354,397),(396,397),(396,416),(354,416)
"芯"bounds: (398,397),(418,397),(418,416),(398,416)
"下"bounds: (16,413),(26,413),(26,422),(16,422)
"单"bounds: (27,412),(37,412),(37,422),(27,422)
"立"bounds: (39,412),(48,412),(48,422),(39,422)
"减"bounds: (50,413),(61,413),(61,423),(50,423)
"30"bounds: (62,413),(74,413),(74,422),(62,422)
