
"#"bounds: (266,8),(274,8),(275,20),(267,20)
"308"bounds: (275,8),(301,7),(302,21),(276,22)
"L'ORÉAL"bounds: (11,9),(115,9),(115,28),(11,28)
"欧莱雅"bounds: (12,31),(74,31),(74,49),(12,49)
"授权"bounds: (77,41),(95,41),(95,49),(77,49)
"PARIS"bounds: (97,34),(123,34),(123,39),(97,39)
"#"bounds: (266,118),(273,118),(273,130),(266,130)
"316"bounds: (275,117),(300,117),(300,130),(275,130)
"REA"bounds: (106,186),(119,187),(118,193),(105,192)
"买"bounds: (36,394),(66,394),(66,423),(36,423)
"即"bounds: (74,394),(103,394),(103,423),(74,423)
"赠"bounds: (112,393),(141,393),(141,423),(112,423)
"护手霜"bounds: (158,394),(248,394),(248,423),(158,423)
"+"bounds: (251,400),(266,400),(266,417),(251,417)
"葫芦"bounds: (270,394),(329,394),(329,422),(270,422)
"粉扑"bounds: (331,393),(392,393),(392,423),(331,423)
