
"LOREAL"bounds: (9,7),(125,7),(125,27),(9,27)
"|"bounds: (131,9),(133,9),(133,27),(131,27)
"欧莱雅"bounds: (139,9),(193,9),(193,24),(139,24)
"授权"bounds: (195,9),(231,9),(231,24),(195,24)
"专卖店"bounds: (234,9),(288,9),(288,24),(234,24)
"PARIS"bounds: (47,31),(81,31),(81,38),(47,38)
"["bounds: (102,100),(106,100),(106,119),(102,119)
"つ"bounds: (123,99),(142,99),(142,120),(123,120)
"PA"bounds: (139,124),(151,124),(151,131),(139,131)
"FR"bounds: (49,174),(65,173),(66,183),(50,184)
"ANTI-O"bounds: (49,185),(83,185),(83,192),(49,192)
"AL"bounds: (209,192),(235,194),(234,208),(208,206)
"欧莱雅"bounds: (50,206),(88,206),(88,217),(50,217)
"葡萄"bounds: (50,219),(67,219),(67,227),(50,227)
"籽"bounds: (69,219),(77,219),(77,227),(69,227)
"ARİS"bounds: (178,211),(204,211),(204,217),(178,217)
"HYDRA"bounds: (105,247),(147,249),(147,257),(105,255)
"ANTI-OX"bounds: (105,266),(139,266),(139,271),(105,271)
"欧莱雅"bounds: (105,283),(136,283),(136,292),(105,292)
"清润"bounds: (139,283),(160,283),(160,292),(139,292)
"#15A"bounds: (5,341),(125,341),(125,389),(5,389)
"盒装"bounds: (38,395),(93,395),(93,422),(38,422)
")"bounds: (118,391),(129,391),(129,423),(118,423)
"补水"bounds: (137,391),(194,391),(194,419),(137,419)
"保湿"bounds: (198,391),(257,391),(257,419),(198,419)
","bounds: (262,411),(269,411),(269,420),(262,420)
"不做"bounds: (274,391),(333,391),(333,419),(274,419)
"黄脸婆"bounds: (335,391),(425,391),(425,419),(335,419)
