
"L'"bounds: (13,10),(28,10),(28,27),(13,27)
"OREAL"bounds: (30,8),(129,8),(129,28),(30,28)
"欧莱雅"bounds: (135,11),(198,11),(198,25),(135,25)
"授权"bounds: (199,10),(235,10),(235,25),(199,25)
"专卖店"bounds: (238,10),(292,10),(292,25),(238,25)
"PARIS"bounds: (50,32),(85,32),(85,39),(50,39)
"L'"bounds: (113,70),(128,70),(128,82),(113,82)
"ORÉAL"bounds: (129,69),(194,69),(194,82),(129,82)
"LORÉAL"bounds: (223,69),(305,69),(305,82),(223,82)
"平均"bounds: (59,110),(85,110),(85,123),(59,123)
"每支"bounds: (87,110),(114,110),(114,123),(87,123)
"72"bounds: (60,126),(98,126),(98,153),(60,153)
"元"bounds: (100,142),(112,142),(112,153),(100,153)
"HYDRA"bounds: (123,171),(157,172),(157,180),(123,179)
"FRESH"bounds: (123,181),(150,181),(150,188),(123,188)
"ANTI"bounds: (123,191),(138,190),(138,195),(123,196)
"-"bounds: (139,190),(142,190),(142,195),(139,195)
"OX"bounds: (143,190),(150,190),(150,195),(143,195)
"HYDRA"bounds: (234,171),(267,173),(266,181),(234,179)
"FR"bounds: (233,182),(242,181),(243,189),(234,190)
"ANTI"bounds: (233,191),(248,190),(248,195),(233,196)
"O"bounds: (251,190),(257,190),(257,195),(251,195)
"欧莱雅"bounds: (123,213),(147,213),(147,221),(123,221)
"清润"bounds: (149,213),(165,213),(165,220),(149,220)
"葡萄"bounds: (168,213),(183,213),(183,220),(168,220)
"籽"bounds: (185,213),(193,213),(193,220),(185,220)
"水嫩"bounds: (123,222),(139,223),(139,230),(123,229)
"洁面乳"bounds: (140,222),(166,223),(166,230),(140,229)
"欧莱雅"bounds: (233,213),(258,213),(258,220),(233,220)
"清润"bounds: (260,213),(276,213),(276,220),(260,220)
"葡萄"bounds: (278,213),(294,213),(294,220),(278,220)
"籽"bounds: (296,213),(303,213),(303,220),(296,220)
"水嫩"bounds: (234,223),(249,222),(249,229),(234,230)
"洁面乳"bounds: (251,222),(277,221),(277,229),(251,230)
"券"bounds: (20,346),(40,346),(40,366),(20,366)
"后"bounds: (42,346),(62,346),(62,366),(42,366)
"价"bounds: (64,346),(85,346),(85,366),(64,366)
":"bounds: (89,350),(93,350),(93,365),(89,365)
"144"bounds: (9,374),(130,374),(130,429),(9,429)
"共"bounds: (140,386),(167,386),(167,413),(140,413)
"大"bounds: (172,386),(200,386),(200,413),(172,413)
"容量"bounds: (205,386),(265,386),(265,413),(205,413)
"共"bounds: (269,386),(298,386),(298,413),(269,413)
"250"bounds: (301,388),(356,388),(356,412),(301,412)
"毫升"bounds: (361,386),(422,386),(422,413),(361,413)
