
"L'"bounds: (2,7),(19,7),(19,27),(2,27)
"OREAL"bounds: (20,7),(119,7),(119,27),(20,27)
"欧莱雅"bounds: (126,9),(188,9),(188,24),(126,24)
"授权"bounds: (190,9),(226,9),(226,24),(190,24)
"专卖店"bounds: (228,9),(282,9),(282,24),(228,24)
"PARIS"bounds: (41,32),(76,32),(76,39),(41,39)
"“"bounds: (191,70),(203,70),(203,79),(191,79)
"补水"bounds: (207,68),(265,68),(265,93),(207,93)
"保湿"bounds: (270,69),(328,69),(328,93),(270,93)
"/"bounds: (304,83),(308,83),(308,92),(304,92)
"业"bounds: (308,81),(326,81),(326,92),(308,92)
"收缩"bounds: (272,102),(326,102),(326,125),(272,125)
"毛孔"bounds: (333,102),(389,102),(389,125),(333,125)
"""bounds: (395,103),(408,103),(408,112),(395,112)
"95"bounds: (395,104),(407,103),(408,113),(396,114)
"OREAL"bounds: (93,163),(137,161),(137,172),(93,174)
"宣"bounds: (238,171),(260,170),(261,197),(239,198)
"买"bounds: (273,169),(300,168),(301,194),(274,195)
"赠"bounds: (305,168),(333,167),(334,194),(306,195)
"2"bounds: (338,171),(354,170),(355,193),(339,194)
"送"bounds: (226,211),(242,211),(242,227),(226,227)
"束"bounds: (244,212),(259,212),(259,226),(244,226)
"发"bounds: (261,211),(276,211),(276,226),(261,226)
"带"bounds: (278,211),(294,211),(294,225),(278,225)
"+"bounds: (296,215),(304,215),(304,223),(296,223)
"化妆包"bounds: (306,211),(356,211),(356,227),(306,227)
"HYDRA"bounds: (85,228),(123,227),(123,235),(85,236)
"ANTI-OX"bounds: (85,246),(115,246),(115,251),(85,251)
