
"LOREAL"bounds: (11,7),(126,7),(126,27),(11,27)
"1"bounds: (133,9),(135,9),(135,27),(133,27)
"欧莱雅"bounds: (141,9),(195,9),(195,24),(141,24)
"授权"bounds: (197,9),(233,9),(233,24),(197,24)
"专卖店"bounds: (236,9),(290,9),(290,24),(236,24)
"PARIS"bounds: (48,31),(83,33),(83,41),(48,39)
"高"bounds: (194,76),(222,76),(222,107),(194,107)
"浓度"bounds: (226,76),(287,76),(287,107),(226,107)
"抗压"bounds: (290,76),(352,76),(352,107),(290,107)
"精华"bounds: (355,76),(416,76),(416,108),(355,108)
"化"bounds: (389,76),(415,76),(415,93),(389,93)
"肌肤"bounds: (216,127),(276,127),(276,157),(216,157)
"注入"bounds: (280,128),(340,128),(340,158),(280,158)
"活力"bounds: (344,128),(403,128),(403,158),(344,158)
","bounds: (409,127),(414,127),(414,136),(409,136)
"送"bounds: (215,184),(232,184),(232,202),(215,202)
"葡萄"bounds: (235,184),(271,184),(271,202),(235,202)
"籽"bounds: (274,185),(291,185),(291,202),(274,202)
"膜"bounds: (293,184),(310,184),(310,202),(293,202)
"力"bounds: (313,184),(329,184),(329,202),(313,202)
"霜"bounds: (332,184),(349,184),(349,202),(332,202)
"25ml"bounds: (352,185),(396,185),(396,201),(352,201)
"LOREAL"bounds: (98,216),(156,216),(156,228),(98,228)
"送"bounds: (379,224),(413,225),(411,260),(377,259)
"FRE"bounds: (97,269),(122,270),(121,281),(97,280)
"ANTI-"bounds: (97,281),(123,281),(123,287),(97,287)
"HYDRA"bounds: (245,327),(303,327),(303,340),(245,340)
"FRESHH"bounds: (311,327),(368,327),(368,340),(311,340)
"ANTI-OX"bounds: (245,341),(309,341),(309,352),(245,352)
