
"L'ORÉAL"bounds: (9,6),(113,6),(113,28),(9,28)
"欧莱雅"bounds: (10,31),(71,31),(71,48),(10,48)
"PARIS"bounds: (89,30),(123,31),(123,38),(89,37)
"授权"bounds: (74,40),(93,40),(93,48),(74,48)
"专卖店"bounds: (94,40),(124,40),(124,48),(94,48)
"买"bounds: (177,45),(220,41),(223,82),(181,86)
"1"bounds: (236,41),(259,39),(263,85),(240,87)
"3"bounds: (225,90),(261,88),(263,136),(227,138)
"MEN"bounds: (30,106),(72,106),(72,119),(30,119)
"EXPERTLE"bounds: (81,106),(205,106),(205,119),(81,119)
"欧莱雅"bounds: (282,117),(312,117),(312,126),(282,126)
"洁面"bounds: (314,117),(332,117),(332,126),(314,126)
"50ml"bounds: (334,117),(359,117),(359,125),(334,125)
"+"bounds: (360,117),(363,117),(363,125),(360,125)
"水"bounds: (365,119),(374,119),(374,126),(365,126)
"凝露"bounds: (376,117),(395,117),(395,126),(376,126)
"15ml"bounds: (398,117),(419,117),(419,125),(398,125)
"PURE"bounds: (124,155),(169,157),(168,170),(123,168)
"&"bounds: (96,171),(106,171),(105,184),(95,184)
"MATTE"bounds: (110,172),(169,175),(168,189),(109,186)
"OREAL"bounds: (221,147),(300,147),(300,165),(221,165)
"MEN"bounds: (209,167),(243,167),(243,176),(209,176)
"EXPERT"bounds: (248,167),(310,167),(310,176),(248,176)
"欧莱雅"bounds: (30,196),(62,194),(63,204),(31,206)
"男士"bounds: (64,194),(85,193),(86,204),(65,205)
"火山岩"bounds: (32,207),(65,207),(65,220),(32,220)
"控油"bounds: (66,207),(89,207),(89,218),(66,218)
"清"bounds: (90,207),(101,207),(101,218),(90,218)
"痘"bounds: (102,208),(113,208),(113,217),(102,217)
"洁面膏"bounds: (114,207),(149,207),(149,220),(114,220)
"火"bounds: (37,231),(41,231),(41,237),(37,237)
"uls"bounds: (43,231),(50,231),(50,236),(43,236)
"矿物"bounds: (51,229),(64,228),(64,234),(51,235)
"红"bounds: (66,229),(71,229),(71,235),(66,235)
"灑"bounds: (74,228),(79,228),(79,234),(74,234)
"L'"bounds: (310,196),(320,196),(320,203),(310,203)
"Θ"bounds: (322,195),(338,195),(338,204),(322,204)
"REAL"bounds: (340,195),(392,195),(392,203),(340,203)
"MEN"bounds: (310,206),(337,206),(337,212),(310,212)
"EXPERT"bounds: (342,206),(392,206),(392,212),(342,212)
"PU"bounds: (281,205),(297,205),(297,214),(281,214)
"&"bounds: (261,217),(267,217),(266,227),(260,227)
"MAT"bounds: (271,218),(299,220),(298,229),(270,227)
"欧莱雅"bounds: (209,236),(234,235),(234,243),(209,244)
"男士"bounds: (235,235),(251,234),(251,242),(235,243)
"火山岩"bounds: (210,244),(236,244),(236,254),(210,254)
"控油"bounds: (237,244),(255,244),(255,252),(237,252)
"清"bounds: (256,244),(265,244),(265,252),(256,252)
","bounds: (279,245),(282,245),(282,252),(279,252)
"面"bounds: (283,244),(291,244),(291,253),(283,253)
"膏"bounds: (292,245),(300,245),(300,254),(292,254)
"欧莱雅"bounds: (322,235),(348,235),(348,241),(322,241)
"男士"bounds: (353,235),(369,235),(369,241),(353,241)
"es"bounds: (323,243),(328,243),(328,248),(323,248)
"親"bounds: (333,243),(338,243),(338,248),(333,248)
"水凝"bounds: (343,243),(359,243),(359,248),(343,248)
"錝"bounds: (363,243),(368,243),(368,248),(363,248)
"HYDAA"bounds: (322,253),(357,253),(357,259),(322,259)
"ENEAGETIC"bounds: (323,259),(379,261),(379,268),(323,266)
"8"bounds: (322,270),(336,269),(337,288),(323,289)
"重"bounds: (340,273),(353,272),(353,282),(340,283)
"功效"bounds: (356,274),(381,273),(381,284),(356,285)
"5"bounds: (189,302),(194,302),(194,310),(189,310)
"款"bounds: (190,324),(202,324),(202,335),(190,335)
"式"bounds: (190,336),(202,336),(202,346),(190,346)
"随"bounds: (190,349),(201,349),(201,359),(190,359)
"机"bounds: (190,362),(201,362),(201,373),(190,373)
"式"bounds: (397,337),(408,337),(408,348),(397,348)
"随"bounds: (396,349),(407,349),(407,360),(396,360)
"机"bounds: (396,362),(408,361),(408,372),(396,373)
"活动"bounds: (8,379),(23,378),(23,385),(8,386)
"价"bounds: (24,379),(31,379),(31,386),(24,386)
"¥"bounds: (23,407),(31,407),(31,419),(23,419)
"36.9"bounds: (39,390),(115,390),(115,421),(39,421)
"2"bounds: (126,392),(140,392),(140,414),(126,414)
"支"bounds: (143,391),(168,391),(168,415),(143,415)
"洗面奶"bounds: (171,390),(251,390),(251,416),(171,416)
"+"bounds: (254,396),(268,396),(268,411),(254,411)
"水"bounds: (271,395),(296,395),(296,416),(271,416)
"凝露"bounds: (298,391),(351,391),(351,416),(298,416)
"15ml"bounds: (355,391),(420,391),(420,414),(355,414)
