
"L'OREAL"bounds: (14,4),(110,4),(110,19),(14,19)
"欧莱雅"bounds: (142,10),(197,10),(197,26),(142,26)
"授权"bounds: (200,10),(237,10),(237,26),(200,26)
"专卖店"bounds: (240,10),(295,10),(295,26),(240,26)
"!"bounds: (304,8),(307,8),(307,30),(304,30)
"PARIS"bounds: (55,21),(79,21),(79,26),(55,26)
"巴黎"bounds: (42,29),(60,29),(60,37),(42,37)
"欧莱雅"bounds: (62,29),(92,29),(92,37),(62,37)
"买"bounds: (268,65),(292,65),(292,90),(268,90)
"一"bounds: (296,75),(322,75),(322,78),(296,78)
"送"bounds: (325,63),(351,63),(352,89),(326,90)
"二"bounds: (355,67),(380,67),(380,88),(355,88)
"赠"bounds: (237,101),(249,101),(249,114),(237,114)
"洗发"bounds: (253,102),(280,102),(280,115),(253,115)
"露"bounds: (282,102),(294,102),(294,114),(282,114)
"中"bounds: (297,102),(310,102),(310,114),(297,114)
"样"bounds: (312,102),(325,102),(325,114),(312,114)
"50ml"bounds: (326,102),(359,102),(359,113),(326,113)
"*"bounds: (361,102),(365,102),(365,106),(361,106)
"2"bounds: (368,102),(375,102),(375,114),(368,114)
"愝カ新"bounds: (106,142),(130,142),(130,147),(106,147)
"。"bounds: (132,142),(136,142),(136,147),(132,147)
"L'OREAL"bounds: (93,154),(155,154),(155,165),(93,165)
"巴黎"bounds: (106,171),(119,171),(119,177),(106,177)
"欧莱雅"bounds: (120,171),(141,171),(141,177),(120,177)
"爺"bounds: (320,162),(328,162),(328,172),(320,172)
"配方"bounds: (329,163),(347,163),(347,172),(329,172)
"發型"bounds: (348,163),(377,163),(377,172),(348,172)
"赠"bounds: (289,186),(312,186),(312,211),(289,211)
"精油"bounds: (101,249),(119,249),(119,256),(101,256)
"润"bounds: (121,249),(129,249),(129,256),(121,256)
"养"bounds: (132,249),(139,249),(139,255),(132,255)
"8"bounds: (142,248),(148,248),(148,257),(142,257)
"养"bounds: (111,259),(115,259),(115,264),(111,264)
"洗"bounds: (121,259),(126,259),(126,264),(121,264)
":"bounds: (127,259),(128,259),(128,264),(127,264)
"友"bounds: (132,259),(136,259),(136,264),(132,264)
"露"bounds: (142,259),(147,259),(147,264),(142,264)
"养"bounds: (261,252),(267,252),(267,257),(261,257)
"8"bounds: (269,252),(274,252),(274,258),(269,258)
"养"bounds: (355,252),(361,252),(361,258),(355,258)
"8"bounds: (364,252),(368,252),(368,258),(364,258)
"润"bounds: (232,259),(236,259),(236,265),(232,265)
"养"bounds: (241,259),(246,259),(246,265),(241,265)
"洗发"bounds: (250,259),(265,259),(265,265),(250,265)
"润"bounds: (326,260),(331,260),(331,266),(326,266)
"养"bounds: (335,260),(340,260),(340,265),(335,265)
"洗发"bounds: (344,260),(359,260),(359,266),(344,266)
"抢购"bounds: (22,342),(66,344),(65,366),(21,364)
"价"bounds: (69,342),(90,343),(89,365),(68,364)
":"bounds: (94,346),(100,346),(99,362),(93,362)
"("bounds: (340,351),(343,351),(343,365),(340,365)
"款式"bounds: (345,351),(372,351),(372,365),(345,365)
"随机"bounds: (374,351),(401,351),(401,365),(374,365)
")"bounds: (403,351),(407,351),(407,365),(403,365)
".39"bounds: (8,369),(85,372),(83,419),(6,416)
"."bounds: (86,372),(121,374),(119,418),(84,417)
"精油"bounds: (138,383),(203,383),(203,415),(138,415)
"润"bounds: (205,384),(236,384),(236,415),(205,415)
"养"bounds: (240,383),(270,383),(270,415),(240,415)
"强韧"bounds: (281,384),(347,384),(347,415),(281,415)
"莹亮"bounds: (350,383),(416,383),(416,415),(350,415)
