
"LOREAL"bounds: (12,9),(128,9),(128,29),(12,29)
"欧莱雅"bounds: (142,11),(197,11),(197,26),(142,26)
"授权"bounds: (199,11),(235,11),(235,26),(199,26)
"专卖店"bounds: (237,11),(292,11),(292,26),(237,26)
"PARIS"bounds: (50,34),(84,32),(84,41),(51,43)
"补水"bounds: (209,51),(285,54),(283,87),(208,84)
"顺滑"bounds: (296,51),(372,54),(371,86),(295,83)
"修护"bounds: (236,93),(311,90),(312,123),(237,126)
"受损"bounds: (323,93),(399,90),(400,123),(324,126)
"”"bounds: (411,91),(421,91),(421,101),(411,101)
"倫"bounds: (226,141),(239,141),(239,160),(226,160)
"L'ORÉAL"bounds: (86,145),(152,145),(152,158),(86,158)
"巴黎"bounds: (100,165),(116,165),(116,172),(100,172)
"欧莱雅"bounds: (116,165),(143,165),(143,172),(116,172)
"HEEEEFE"bounds: (206,138),(323,138),(323,165),(206,165)
"ETA"bounds: (336,138),(367,138),(367,165),(336,165)
"送"bounds: (255,143),(272,143),(272,159),(255,159)
"发"bounds: (273,143),(290,143),(290,159),(273,159)
"带"bounds: (292,143),(308,143),(308,159),(292,159)
"+"bounds: (310,146),(319,146),(319,156),(310,156)
"护手霜"bounds: (321,143),(374,143),(374,159),(321,159)
"送"bounds: (256,190),(283,190),(283,217),(256,217)
"精油"bounds: (93,249),(115,249),(115,258),(93,258)
"润"bounds: (117,249),(127,249),(127,258),(117,258)
"养"bounds: (131,249),(139,249),(139,258),(131,258)
"养"bounds: (106,261),(110,261),(110,267),(106,267)
"发"bounds: (130,262),(136,262),(136,267),(130,267)
"乳"bounds: (142,261),(148,261),(148,267),(142,267)
