
"LOREAL"bounds: (13,8),(128,9),(128,29),(13,28)
"欧"bounds: (142,11),(159,11),(159,26),(142,26)
"莱雅"bounds: (161,11),(197,11),(197,25),(161,25)
"授权"bounds: (199,11),(235,11),(235,26),(199,26)
"专卖"bounds: (239,11),(275,11),(275,25),(239,25)
"店"bounds: (275,11),(293,11),(293,24),(275,24)
"PARIS"bounds: (50,32),(85,34),(85,42),(50,40)
"#"bounds: (390,37),(396,36),(397,45),(391,46)
"908"bounds: (397,36),(420,34),(421,46),(398,48)
"#"bounds: (390,171),(396,171),(396,180),(390,180)
"911"bounds: (397,171),(418,170),(418,181),(397,182)
"#"bounds: (387,297),(393,296),(394,305),(388,306)
"915"bounds: (394,296),(417,294),(418,305),(395,307)
"赠"bounds: (23,375),(42,373),(44,396),(25,398)
"护手霜"bounds: (43,376),(105,371),(107,392),(45,397)
"+"bounds: (107,373),(120,372),(121,385),(108,386)
"发"bounds: (121,367),(141,365),(143,385),(123,387)
"带"bounds: (143,369),(162,367),(164,387),(145,389)
