
"L'"bounds: (8,7),(23,7),(23,23),(8,23)
"OREAL"bounds: (24,5),(123,5),(123,25),(24,25)
"!"bounds: (129,7),(132,7),(132,25),(129,25)
"欧莱雅"bounds: (137,7),(192,7),(192,21),(137,21)
"授权"bounds: (194,7),(230,7),(230,22),(194,22)
"专卖店"bounds: (232,7),(287,7),(287,22),(232,22)
"PARIS"bounds: (45,30),(80,30),(80,37),(45,37)
"调理"bounds: (190,42),(241,42),(241,65),(190,65)
"头皮"bounds: (243,42),(294,42),(294,66),(243,66)
"根源"bounds: (191,74),(240,74),(240,98),(191,98)
"去"bounds: (242,74),(267,74),(267,98),(242,98)
"头屑"bounds: (270,74),(320,74),(320,98),(270,98)
"10"bounds: (323,45),(341,45),(341,66),(323,66)
"添加"bounds: (342,47),(374,47),(374,62),(342,62)
"硅油"bounds: (375,47),(408,47),(408,62),(375,62)
"!"bounds: (411,43),(414,43),(414,66),(411,66)
"L'ORÉAL"bounds: (65,128),(139,128),(139,143),(65,143)
"欧莱雅"bounds: (74,151),(110,151),(110,161),(74,161)
"美发"bounds: (113,151),(136,151),(136,161),(113,161)
"茶树"bounds: (74,168),(92,168),(92,178),(74,178)
"植"bounds: (94,168),(103,168),(103,178),(94,178)
"萃"bounds: (105,168),(113,168),(113,178),(105,178)
"去屑"bounds: (115,168),(135,168),(135,178),(115,178)
"赠"bounds: (289,133),(310,133),(310,156),(289,156)
"L'OREALLORÉAL"bounds: (225,153),(372,153),(372,165),(225,165)
"欧莱雅"bounds: (232,171),(261,171),(261,179),(232,179)
"美发"bounds: (262,171),(281,171),(281,180),(262,180)
"11"bounds: (299,166),(304,166),(304,182),(299,182)
"欧莱雅"bounds: (321,169),(350,170),(350,179),(321,178)
"美发"bounds: (352,169),(371,170),(371,179),(352,178)
"洗发"bounds: (272,202),(283,201),(283,207),(273,208)
"震"bounds: (284,202),(290,201),(291,207),(285,208)
"洗发"bounds: (362,202),(374,202),(374,207),(362,207)
"露"bounds: (374,202),(380,202),(380,208),(374,208)
"硅油"bounds: (67,206),(80,207),(79,213),(66,212)
"头皮"bounds: (98,304),(108,304),(108,309),(98,309)
"长效"bounds: (112,304),(122,304),(122,309),(112,309)
"去屑"bounds: (124,304),(135,304),(135,309),(124,309)
"款"bounds: (187,322),(198,322),(198,332),(187,332)
"式"bounds: (187,334),(198,334),(198,345),(187,345)
"随"bounds: (187,347),(196,347),(196,357),(187,357)
"机"bounds: (187,359),(198,359),(198,370),(187,370)
"抢购"bounds: (26,345),(60,346),(59,363),(25,362)
"价"bounds: (62,346),(78,347),(77,363),(61,362)
":"bounds: (83,348),(86,348),(85,360),(82,360)
".9"bounds: (91,397),(110,397),(110,418),(91,418)
"送"bounds: (137,392),(162,392),(162,416),(137,416)
"欧莱雅"bounds: (166,392),(243,392),(243,416),(166,416)
"50ml"bounds: (246,393),(309,393),(309,415),(246,415)
"洗发"bounds: (311,392),(362,392),(362,416),(311,416)
"露"bounds: (365,393),(389,393),(389,416),(365,416)
"""bounds: (393,393),(405,393),(405,415),(393,415)
"2"bounds: (406,393),(418,393),(418,415),(406,415)
"起"bounds: (113,406),(121,406),(121,415),(113,415)
