
"LOREAL"bounds: (10,6),(125,6),(125,26),(10,26)
"欧莱雅"bounds: (135,8),(197,8),(197,25),(135,25)
"攤"bounds: (199,17),(213,17),(213,24),(199,24)
"授权"bounds: (200,17),(218,17),(218,25),(200,25)
"专卖店"bounds: (220,17),(250,17),(250,25),(220,25)
"炭"bounds: (193,39),(218,39),(218,64),(193,64)
"爽"bounds: (222,40),(247,40),(247,64),(222,64)
"去"bounds: (250,38),(276,38),(276,64),(250,64)
"油"bounds: (278,39),(305,39),(305,65),(278,65)
"去屑"bounds: (291,73),(345,73),(345,99),(291,99)
"止痒"bounds: (348,74),(403,74),(403,99),(348,99)
"欧莱雅"bounds: (231,118),(291,118),(291,136),(231,136)
"洗面奶"bounds: (293,118),(353,118),(353,137),(293,137)
"50ml"bounds: (355,119),(404,119),(404,135),(355,135)
"("bounds: (327,141),(330,141),(330,156),(327,156)
"款式"bounds: (332,141),(364,141),(364,156),(332,156)
"随机"bounds: (365,141),(397,141),(397,156),(365,156)
")"bounds: (399,141),(403,141),(403,156),(399,156)
"L'ORÉAL"bounds: (87,162),(164,162),(164,177),(87,177)
"MEN"bounds: (88,179),(115,179),(115,188),(88,188)
"EXPERT"bounds: (119,178),(169,178),(169,187),(119,187)
"欧莱雅"bounds: (105,192),(133,192),(133,200),(105,200)
"男士"bounds: (136,192),(153,192),(153,200),(136,200)
"送"bounds: (224,151),(256,151),(256,183),(224,183)
"LOREAL"bounds: (264,192),(356,192),(356,206),(264,206)
"MEN"bounds: (264,209),(295,209),(295,217),(264,217)
"EXPERT"bounds: (299,209),(355,209),(355,217),(299,217)
"全新"bounds: (122,227),(134,227),(134,234),(122,234)
"去屑"bounds: (122,237),(141,237),(141,246),(122,246)
"洗发"bounds: (142,237),(162,237),(162,246),(142,246)
"露"bounds: (163,237),(172,237),(172,246),(163,246)
"PURE"bounds: (330,244),(361,245),(361,253),(330,252)
"&"bounds: (311,255),(316,255),(316,263),(311,263)
"MATTE"bounds: (320,255),(360,257),(360,266),(320,264)
"重"bounds: (129,260),(141,260),(141,273),(129,273)
"功效"bounds: (142,259),(170,260),(170,273),(142,272)
"欧莱雅"bounds: (264,272),(285,270),(286,277),(265,279)
"男士"bounds: (287,270),(301,269),(302,277),(288,278)
"火山岩"bounds: (266,281),(288,281),(288,289),(266,289)
"控油"bounds: (289,280),(305,280),(305,288),(289,288)
"清"bounds: (306,280),(313,280),(313,287),(306,287)
"痘"bounds: (315,280),(321,280),(321,288),(315,288)
"洁面膏"bounds: (323,281),(347,281),(347,289),(323,289)
"p"bounds: (86,298),(90,298),(90,303),(86,303)
"t"bounds: (94,298),(95,298),(95,303),(94,303)
"""bounds: (97,298),(101,298),(101,303),(97,303)
"."bounds: (103,300),(105,300),(105,301),(103,301)
"头皮"bounds: (106,298),(117,298),(117,303),(106,303)
"防护"bounds: (117,298),(129,298),(129,303),(117,303)
"Ett"bounds: (130,298),(141,298),(141,303),(130,303)
"去屑"bounds: (122,312),(134,312),(134,319),(122,319)
","bounds: (136,312),(148,312),(148,319),(136,319)
"止痒"bounds: (122,321),(134,321),(134,327),(122,327)
"2"bounds: (136,321),(143,321),(143,327),(136,327)
"即刻"bounds: (109,330),(121,330),(121,336),(109,336)
"清爽"bounds: (122,330),(134,330),(134,336),(122,336)
"目"bounds: (136,330),(143,330),(143,336),(136,336)
"持续"bounds: (109,339),(120,339),(120,345),(109,345)
"洁净"bounds: (122,339),(135,339),(135,346),(122,346)
"去"bounds: (122,349),(127,349),(127,354),(122,354)
"油"bounds: (129,348),(134,348),(135,354),(130,354)
"因"bounds: (136,349),(143,348),(143,354),(137,355)
"炭"bounds: (132,363),(139,363),(139,371),(132,371)
"夷"bounds: (141,363),(149,363),(149,371),(141,371)
"去"bounds: (151,364),(158,364),(158,371),(151,371)
