
"l"bounds: (8,7),(15,7),(15,24),(8,24)
"!"bounds: (16,7),(23,7),(23,24),(16,24)
"ORÉAL"bounds: (24,5),(123,5),(123,25),(24,25)
"1"bounds: (129,7),(131,7),(131,25),(129,25)
"欧莱雅"bounds: (137,7),(192,7),(192,22),(137,22)
"授权"bounds: (194,7),(230,7),(230,22),(194,22)
"专卖店"bounds: (232,7),(286,7),(286,22),(232,22)
"PARIS"bounds: (44,30),(80,30),(80,37),(44,37)
"控油"bounds: (228,55),(289,55),(289,84),(228,84)
"去"bounds: (292,55),(323,55),(323,84),(292,84)
"油"bounds: (325,55),(355,55),(355,84),(325,84)
"!"bounds: (360,49),(364,49),(364,85),(360,85)
"补水"bounds: (229,87),(292,90),(291,120),(228,117)
"修复"bounds: (293,86),(357,89),(356,119),(292,116)
"11"bounds: (361,87),(376,88),(374,124),(359,123)
"乙"bounds: (344,105),(356,106),(356,116),(344,115)
"|"bounds: (362,105),(364,105),(363,121),(361,121)
"硅"bounds: (371,106),(387,107),(386,122),(370,121)
"油"bounds: (372,126),(386,126),(386,142),(372,142)
"为"bounds: (229,131),(237,131),(237,141),(229,141)
"油性"bounds: (239,131),(260,131),(260,141),(239,141)
"发"bounds: (262,131),(271,131),(271,141),(262,141)
"根"bounds: (273,131),(282,131),(282,141),(273,141)
"干"bounds: (286,132),(296,132),(296,141),(286,141)
"性"bounds: (297,131),(307,131),(307,141),(297,141)
"发丝"bounds: (309,131),(330,131),(330,141),(309,141)
"定制"bounds: (331,131),(352,131),(352,141),(331,141)
"LOREAL"bounds: (80,144),(147,144),(147,156),(80,156)
"巴黎"bounds: (93,163),(107,163),(107,170),(93,170)
"欧莱雅"bounds: (109,163),(133,163),(133,169),(109,169)
"赠"bounds: (299,171),(321,172),(320,194),(298,193)
"田"bounds: (309,174),(320,174),(320,182),(309,182)
"透明质酸"bounds: (87,247),(113,247),(113,255),(87,255)
"個"bounds: (114,247),(128,247),(128,255),(114,255)
"72"bounds: (129,247),(141,247),(141,255),(129,255)
"去"bounds: (87,259),(91,259),(91,264),(87,264)
"麓"bounds: (93,259),(98,259),(98,264),(93,264)
"洗发"bounds: (101,259),(113,259),(113,264),(101,264)
"露"bounds: (116,259),(121,259),(121,264),(116,264)
"("bounds: (123,260),(127,260),(127,265),(123,265)
"R"bounds: (128,260),(131,260),(131,264),(128,264)
")"bounds: (140,260),(142,260),(142,265),(140,265)
"LOREALOREA"bounds: (285,254),(349,254),(349,260),(285,260)
"买"bounds: (25,394),(52,394),(52,420),(25,420)
"即送"bounds: (55,392),(113,392),(113,420),(55,420)
"发"bounds: (115,392),(143,392),(143,420),(115,420)
"带"bounds: (146,392),(173,392),(173,420),(146,420)
"+"bounds: (175,398),(192,398),(192,414),(175,414)
"精油"bounds: (193,392),(251,392),(251,420),(193,420)
"片"bounds: (254,392),(281,392),(281,420),(254,420)
"装"bounds: (285,392),(314,392),(314,420),(285,420)
"小样"bounds: (315,392),(375,392),(375,420),(315,420)
"""bounds: (378,393),(391,393),(391,418),(378,418)
"2"bounds: (392,393),(407,393),(407,418),(392,418)
