
"LOREAL"bounds: (10,11),(126,11),(126,31),(10,31)
"欧莱雅"bounds: (132,14),(194,14),(194,28),(132,28)
"授权"bounds: (196,13),(232,13),(232,28),(196,28)
"专卖店"bounds: (235,14),(289,14),(289,28),(235,28)
"PARIS"bounds: (48,36),(82,36),(82,43),(48,43)
"优惠"bounds: (192,77),(263,77),(263,112),(192,112)
"大"bounds: (264,77),(300,77),(300,112),(264,112)
"放"bounds: (301,77),(336,77),(336,112),(301,112)
"价"bounds: (338,77),(373,77),(373,112),(338,112)
"容量"bounds: (180,137),(238,134),(239,161),(181,164)
"共"bounds: (238,135),(266,134),(267,160),(239,161)
"685ml"bounds: (271,132),(386,127),(387,158),(272,163)
"L'OREAL"bounds: (65,124),(124,124),(124,136),(65,136)
"巴黎"bounds: (71,142),(91,142),(91,151),(71,151)
"欧莱雅"bounds: (93,142),(124,142),(124,150),(93,150)
"全新"bounds: (65,164),(76,163),(76,168),(65,169)
"("bounds: (286,172),(289,172),(289,185),(286,185)
"仅限"bounds: (291,172),(318,172),(318,184),(291,184)
"400ml"bounds: (321,172),(367,172),(367,183),(321,183)
"送"bounds: (369,172),(382,172),(382,184),(369,184)
")"bounds: (384,172),(388,172),(388,185),(384,185)
"MICELLAR"bounds: (68,247),(132,247),(132,255),(68,255)
"WATER"bounds: (68,258),(109,257),(109,265),(68,266)
"LOREALLOREAL"bounds: (174,239),(284,239),(284,247),(174,247)
"LOREAL"bounds: (306,239),(351,239),(351,247),(306,247)
"巴黎"bounds: (245,253),(258,253),(258,259),(245,259)
"欧莱雅"bounds: (259,253),(279,253),(279,259),(259,259)
"巴黎"bounds: (179,252),(191,252),(191,258),(179,258)
"欧莱雅"bounds: (192,252),(213,252),(213,258),(192,258)
"巴黎"bounds: (311,253),(323,253),(323,259),(311,259)
"欧莱雅"bounds: (325,253),(345,253),(345,259),(325,259)
"三合一"bounds: (65,277),(88,277),(88,284),(65,284)
"卸妆"bounds: (90,277),(105,277),(105,284),(90,284)
"洁"bounds: (107,277),(114,277),(114,284),(107,284)
"颜"bounds: (116,277),(123,277),(123,284),(116,284)
"水"bounds: (124,277),(131,277),(131,284),(124,284)
"ELLAR"bounds: (257,307),(277,307),(277,312),(257,312)
"MICELLAR"bounds: (310,307),(343,307),(343,312),(310,312)
"WATER"bounds: (311,314),(333,314),(333,319),(311,319)
"h-axns"bounds: (309,326),(341,326),(341,332),(309,332)
"到手"bounds: (34,382),(132,382),(132,422),(34,422)
"4"bounds: (145,383),(172,383),(172,416),(145,416)
"瓶"bounds: (185,381),(228,381),(228,422),(185,422)
"卸妆"bounds: (241,381),(339,381),(339,422),(241,422)
"水"bounds: (352,381),(395,381),(395,422),(352,422)
