
"LOREAL"bounds: (9,5),(124,5),(124,25),(9,25)
"1"bounds: (130,7),(133,7),(133,25),(130,25)
"欧莱雅"bounds: (138,7),(193,7),(193,21),(138,21)
"授权"bounds: (195,7),(231,7),(231,22),(195,22)
"专卖店"bounds: (233,7),(287,7),(287,22),(233,22)
"PARIS"bounds: (46,30),(81,30),(81,36),(46,36)
"LOREAL"bounds: (77,68),(159,68),(159,82),(77,82)
"PARIS"bounds: (104,84),(132,83),(132,88),(104,89)
"22"bounds: (219,114),(243,114),(243,136),(219,136)
"买"bounds: (252,115),(274,115),(274,136),(252,136)
"即送"bounds: (278,114),(327,114),(327,136),(278,136)
"发"bounds: (329,114),(352,114),(352,136),(329,136)
"带"bounds: (355,114),(378,114),(378,134),(355,134)
"REVITALIFT"bounds: (82,149),(130,149),(130,157),(82,157)
"欧莱雅"bounds: (82,184),(105,184),(105,191),(82,191)
"复"bounds: (108,184),(114,184),(114,191),(108,191)
"颜"bounds: (116,184),(123,184),(123,191),(116,191)
"洁面乳"bounds: (82,193),(106,192),(106,200),(82,201)
"赠"bounds: (282,175),(304,175),(304,198),(282,198)
"券"bounds: (20,346),(40,346),(40,366),(20,366)
"后"bounds: (42,346),(62,346),(62,366),(42,366)
"价"bounds: (64,346),(85,346),(85,366),(64,366)
":"bounds: (89,350),(93,350),(93,365),(89,365)
"¥"bounds: (9,400),(20,400),(20,417),(9,417)
"104"bounds: (21,375),(119,375),(119,417),(21,417)
"大"bounds: (152,383),(186,383),(186,417),(152,417)
"容量"bounds: (190,383),(263,383),(263,417),(190,417)
"125"bounds: (269,386),(333,386),(333,415),(269,415)
"毫升"bounds: (338,383),(411,383),(411,417),(338,417)
