
"L'OREAL"bounds: (27,4),(105,4),(105,20),(27,20)
"欧莱雅"bounds: (146,9),(198,11),(197,27),(145,25)
"授权"bounds: (200,10),(237,11),(236,26),(200,25)
"专卖店"bounds: (240,9),(295,11),(294,26),(240,24)
"PARIS"bounds: (55,20),(79,20),(79,25),(55,25)
"巴黎"bounds: (43,29),(61,29),(61,38),(43,38)
"欧莱雅"bounds: (63,30),(93,30),(93,38),(63,38)
"SPF"bounds: (135,62),(159,61),(159,72),(135,73)
"50"bounds: (122,78),(169,74),(172,107),(125,111)
"L'OREAL"bounds: (147,135),(206,135),(206,147),(147,147)
"OREAL"bounds: (289,142),(341,144),(340,157),(288,155)
"3"bounds: (41,153),(59,154),(58,186),(40,185)
"重"bounds: (70,158),(100,159),(99,186),(69,185)
"实力"bounds: (40,196),(97,197),(97,223),(40,222)
"㎜asan"bounds: (145,200),(184,201),(184,207),(145,206)
"辟穀"bounds: (277,201),(321,202),(321,223),(277,222)
"防晒"bounds: (40,230),(99,227),(100,256),(41,259)
"UV"bounds: (147,171),(165,171),(165,181),(147,181)
"PERFECT"bounds: (146,182),(215,182),(215,194),(146,194)
"抢购"bounds: (22,343),(65,343),(65,364),(22,364)
"价"bounds: (68,343),(89,343),(89,364),(68,364)
":"bounds: (95,347),(99,347),(99,362),(95,362)
"78.9"bounds: (27,370),(112,374),(110,420),(25,416)
":"bounds: (70,381),(82,381),(82,408),(70,408)
"隔离"bounds: (146,388),(198,388),(198,414),(146,414)
"露"bounds: (201,388),(226,388),(226,414),(201,414)
"+"bounds: (227,393),(242,393),(242,408),(227,408)
"膜"bounds: (243,388),(270,388),(270,413),(243,413)
"力"bounds: (272,387),(296,387),(296,413),(272,413)
"水"bounds: (298,387),(324,387),(324,413),(298,413)
"65ml"bounds: (326,388),(394,388),(394,411),(326,411)
"-"bounds: (104,391),(109,391),(109,411),(104,411)
