
"L'"bounds: (9,9),(24,9),(24,26),(9,26)
"OREAL"bounds: (25,7),(124,7),(124,27),(25,27)
"欧莱雅"bounds: (138,9),(193,9),(193,24),(138,24)
"授权"bounds: (195,9),(231,9),(231,24),(195,24)
"专卖店"bounds: (233,9),(287,9),(287,24),(233,24)
"PARIS"bounds: (46,31),(81,33),(81,41),(46,39)
"SPF21"bounds: (233,69),(286,70),(286,85),(233,84)
"1"bounds: (295,70),(296,70),(296,84),(295,84)
"PA+++"bounds: (305,69),(379,70),(379,85),(305,84)
"OREAL"bounds: (115,97),(177,97),(177,115),(115,115)
"赠"bounds: (262,106),(276,106),(276,120),(262,120)
"护手霜"bounds: (279,105),(329,105),(329,120),(279,120)
"*"bounds: (332,110),(338,110),(338,116),(332,116)
"1"bounds: (342,106),(346,106),(346,117),(342,117)
"UCEN"bounds: (116,130),(170,132),(169,147),(115,145)
"MAGIQUE"bounds: (106,147),(181,147),(181,155),(106,155)
"赠"bounds: (254,181),(273,181),(273,201),(254,201)
"奇"bounds: (119,223),(129,223),(129,233),(119,233)
"焕"bounds: (132,224),(142,224),(142,234),(132,234)
"光彩"bounds: (145,222),(170,223),(169,234),(145,233)
"ほ"bounds: (294,220),(304,220),(304,227),(294,227)
"粉嫩"bounds: (118,236),(131,236),(131,241),(118,241)
"透亮"bounds: (133,236),(145,236),(145,241),(133,241)
"修"bounds: (148,236),(153,236),(153,241),(148,241)
"颜"bounds: (155,236),(160,236),(160,241),(155,241)
"霜"bounds: (163,236),(167,236),(167,241),(163,241)
"女王"bounds: (28,346),(62,346),(62,363),(28,363)
"价"bounds: (63,347),(80,347),(80,363),(63,363)
":"bounds: (84,350),(87,350),(87,362),(84,362)
"86,"bounds: (19,363),(113,367),(110,423),(17,419)
"修正"bounds: (140,387),(200,387),(200,416),(140,416)
"遮瑕"bounds: (204,387),(266,387),(266,416),(204,416)
"粉嫩"bounds: (291,387),(353,387),(353,416),(291,416)
"透亮"bounds: (356,387),(418,387),(418,415),(356,415)
".9"bounds: (101,404),(110,404),(110,418),(101,418)
