
"L'"bounds: (11,10),(26,10),(26,27),(11,27)
"OREAL"bounds: (28,8),(126,8),(126,28),(28,28)
"!"bounds: (133,10),(135,10),(135,28),(133,28)
"欧莱雅"bounds: (141,10),(195,10),(195,25),(141,25)
"授权"bounds: (197,10),(233,10),(233,25),(197,25)
"专卖店"bounds: (235,10),(290,10),(290,25),(235,25)
"PARIS"bounds: (48,31),(83,33),(83,41),(48,39)
"买"bounds: (306,75),(335,72),(337,99),(308,102)
"1"bounds: (339,76),(354,75),(356,98),(341,99)
"送"bounds: (309,104),(337,106),(335,133),(307,131)
"2"bounds: (341,107),(358,108),(356,131),(339,130)
"束"bounds: (291,176),(305,176),(305,190),(291,190)
"发"bounds: (310,176),(325,176),(325,190),(310,190)
"带"bounds: (330,176),(344,176),(344,190),(330,190)
"+"bounds: (349,180),(357,180),(357,187),(349,187)
"镜子"bounds: (361,176),(396,176),(396,190),(361,190)
"HYDRAFRESH"bounds: (59,301),(211,301),(211,318),(59,318)
"ANTI-OX"bounds: (60,321),(142,320),(142,334),(60,335)
"GRAPE"bounds: (59,337),(94,337),(94,344),(59,344)
"SEED"bounds: (98,337),(125,337),(125,344),(98,344)
"HYDRATING"bounds: (128,336),(189,336),(189,344),(128,344)
"MASK-IN"bounds: (60,346),(103,346),(103,353),(60,353)
"EYE"bounds: (106,346),(126,346),(126,353),(106,353)
"GEL"bounds: (130,346),(149,346),(149,353),(130,353)
"欧莱雅"bounds: (60,356),(87,356),(87,364),(60,364)
"清润"bounds: (88,356),(107,356),(107,365),(88,365)
"葡萄"bounds: (108,356),(126,356),(126,365),(108,365)
"籽"bounds: (127,355),(135,355),(135,364),(127,364)
"水嫩"bounds: (139,355),(157,355),(157,364),(139,364)
"膜"bounds: (157,355),(166,355),(166,364),(157,364)
"力"bounds: (168,355),(176,355),(176,364),(168,364)
"眼霜"bounds: (177,355),(195,355),(195,363),(177,363)
