
"L'OREAL"bounds: (9,6),(115,6),(115,28),(9,28)
"欧莱雅"bounds: (10,31),(71,31),(71,48),(10,48)
"PARIS"bounds: (89,30),(123,31),(123,38),(89,37)
"授权"bounds: (74,40),(93,40),(93,48),(74,48)
"专卖店"bounds: (94,40),(124,40),(124,48),(94,48)
"买"bounds: (205,46),(243,43),(246,79),(208,82)
"1"bounds: (257,42),(279,40),(282,80),(260,82)
"3"bounds: (251,86),(283,85),(285,128),(253,129)
"LOREAL"bounds: (31,82),(162,82),(162,103),(31,103)
"MEN"bounds: (32,106),(75,106),(75,118),(32,118)
"EXPERT"bounds: (82,106),(161,106),(161,118),(82,118)
"PURE"bounds: (125,155),(168,157),(167,169),(124,167)
"&"bounds: (97,171),(106,171),(105,183),(96,183)
"MATTE"bounds: (111,172),(168,175),(167,188),(110,185)
"LOREAL"bounds: (191,152),(293,152),(293,168),(191,168)
"TE"bounds: (143,173),(165,172),(166,188),(144,189)
"MEN"bounds: (180,171),(223,169),(224,185),(181,187)
"EXPERT"bounds: (230,169),(288,166),(289,182),(231,185)
"欧莱雅"bounds: (32,195),(63,193),(63,203),(33,205)
"男士"bounds: (64,193),(85,192),(86,202),(65,203)
"控油"bounds: (32,207),(54,207),(54,219),(32,219)
"炭"bounds: (56,207),(66,207),(66,217),(56,217)
"爽"bounds: (68,206),(78,206),(78,216),(68,216)
"抗"bounds: (79,206),(90,206),(90,216),(79,216)
"黑头"bounds: (91,206),(113,206),(113,216),(91,216)
"洁面膏"bounds: (115,206),(149,206),(149,218),(115,218)
"欧莱雅"bounds: (310,206),(336,205),(336,213),(310,214)
"洁面"bounds: (339,206),(357,206),(357,214),(339,214)
"50ml"bounds: (359,206),(381,206),(381,213),(359,213)
"+"bounds: (383,208),(386,208),(386,212),(383,212)
"面霜"bounds: (388,206),(407,206),(407,215),(388,215)
"8ml"bounds: (408,206),(425,206),(425,213),(408,213)
"PURE"bounds: (264,208),(298,207),(298,218),(264,219)
"&"bounds: (243,222),(250,222),(250,231),(243,231)
"MATTE"bounds: (254,222),(298,224),(298,234),(254,232)
"一次"bounds: (38,229),(50,229),(50,235),(38,235)
"释放"bounds: (52,228),(66,228),(66,235),(52,235)
"2000"bounds: (67,227),(88,227),(88,233),(67,233)
"颗"bounds: (88,227),(95,227),(95,233),(88,233)
"磨砂"bounds: (96,227),(109,227),(109,234),(96,234)
"柔"bounds: (111,227),(116,227),(116,234),(111,234)
"珠"bounds: (118,227),(124,227),(124,234),(118,234)
"欧莱雅"bounds: (190,240),(216,239),(216,247),(190,248)
"男士"bounds: (217,239),(233,238),(233,246),(217,247)
"控"bounds: (192,250),(199,250),(199,258),(192,258)
"11"bounds: (201,248),(215,248),(215,257),(201,257)
"爽"bounds: (218,248),(227,248),(227,257),(218,257)
"抗"bounds: (228,248),(236,248),(236,256),(228,256)
"運"bounds: (237,248),(245,248),(245,256),(237,256)
"头"bounds: (247,248),(255,248),(255,256),(247,256)
"洁面"bounds: (256,248),(274,248),(274,257),(256,257)
"晋"bounds: (275,249),(283,249),(283,257),(275,257)
"一次"bounds: (196,266),(205,266),(205,271),(196,271)
"释"bounds: (207,266),(211,266),(211,270),(207,270)
"12000"bounds: (212,265),(234,265),(234,270),(212,270)
"MEN"bounds: (311,243),(332,243),(332,249),(311,249)
"XP"bounds: (335,243),(354,243),(354,249),(335,249)
"時"bounds: (44,252),(53,251),(53,255),(44,256)
"兌"bounds: (55,251),(59,251),(59,256),(55,256)
"毛"bounds: (61,251),(65,251),(65,256),(61,256)
"ENERGETIC"bounds: (322,285),(366,287),(366,292),(322,290)
"8"bounds: (322,293),(333,294),(332,309),(321,308)
"重"bounds: (336,296),(347,297),(346,304),(335,303)
"功效"bounds: (349,295),(368,297),(367,309),(348,307)
"50"bounds: (174,304),(188,303),(189,313),(175,314)
"ml"bounds: (175,313),(190,314),(189,324),(174,323)
"式"bounds: (177,338),(187,338),(187,348),(177,348)
"随"bounds: (176,350),(187,350),(187,361),(176,361)
"机"bounds: (176,363),(187,363),(187,374),(176,374)
"款"bounds: (385,324),(397,324),(397,335),(385,335)
"式"bounds: (384,337),(395,337),(395,347),(384,347)
"随"bounds: (384,350),(395,350),(395,360),(384,360)
"机"bounds: (384,363),(395,363),(395,374),(384,374)
")"bounds: (176,375),(187,375),(187,378),(176,378)
"活动"bounds: (11,386),(28,386),(28,394),(11,394)
"36.9"bounds: (28,385),(122,385),(122,422),(28,422)
"2"bounds: (137,391),(154,391),(154,418),(137,418)
"支"bounds: (157,390),(185,390),(185,420),(157,420)
"洁面膏"bounds: (188,390),(279,390),(279,421),(188,421)
"+"bounds: (281,403),(296,403),(296,416),(281,416)
"面霜"bounds: (298,389),(358,389),(358,421),(298,421)
"8ml"bounds: (359,389),(417,389),(417,418),(359,418)
