
"L'ORÉAL"bounds: (19,6),(95,6),(95,21),(19,21)
"|"bounds: (233,7),(240,7),(242,43),(235,43)
"立"bounds: (246,25),(275,24),(276,48),(247,49)
"减"bounds: (279,22),(308,21),(309,48),(280,49)
"10"bounds: (310,4),(368,1),(370,48),(312,51)
"元"bounds: (373,23),(401,22),(402,47),(374,48)
"PARIS"bounds: (46,21),(70,22),(70,27),(46,26)
"巴黎"bounds: (33,31),(51,31),(51,39),(33,39)
"欧莱雅"bounds: (53,31),(83,31),(83,39),(53,39)
"详情"bounds: (292,59),(321,60),(320,74),(291,73)
"领"bounds: (324,59),(338,60),(337,73),(323,72)
"券"bounds: (340,59),(353,60),(352,74),(339,73)
"OREA"bounds: (128,139),(162,138),(162,147),(128,148)
"EN"bounds: (127,149),(137,149),(137,155),(127,155)
"會"bounds: (238,127),(263,128),(262,155),(237,154)
"早晚"bounds: (270,129),(317,131),(316,156),(269,154)
"2"bounds: (319,133),(333,134),(332,155),(318,154)
"瓶装"bounds: (335,130),(383,132),(382,156),(334,154)
"水能"bounds: (227,174),(245,174),(245,182),(227,182)
"水"bounds: (247,174),(255,174),(255,182),(247,182)
"凝露"bounds: (257,174),(275,174),(275,182),(257,182)
"120ml"bounds: (278,174),(309,174),(309,182),(278,182)
"+"bounds: (310,174),(313,174),(313,181),(310,181)
"水能"bounds: (315,174),(334,174),(334,182),(315,182)
"强"bounds: (336,174),(344,174),(344,182),(336,182)
"润"bounds: (346,174),(354,174),(354,182),(346,182)
"霜"bounds: (356,174),(364,174),(364,182),(356,182)
"50ml"bounds: (366,174),(389,174),(389,181),(366,181)
"|"bounds: (394,171),(395,171),(395,185),(394,185)
"HYDRA"bounds: (322,258),(350,258),(350,263),(322,263)
"POWER"bounds: (318,267),(352,267),(352,273),(318,273)
"上"bounds: (138,331),(165,331),(165,357),(138,357)
"用"bounds: (169,332),(195,332),(195,357),(169,357)
"!"bounds: (225,331),(230,331),(230,361),(225,361)
"晚上"bounds: (272,333),(329,333),(329,360),(272,360)
"用"bounds: (332,334),(358,334),(358,360),(332,360)
"清爽"bounds: (140,384),(204,384),(204,415),(140,415)
"保湿"bounds: (206,385),(272,385),(272,415),(206,415)
"深层"bounds: (288,385),(352,385),(352,415),(288,415)
"滋养"bounds: (355,384),(419,384),(419,415),(355,415)
"券"bounds: (22,344),(42,344),(42,365),(22,365)
"后"bounds: (44,344),(66,344),(66,364),(44,364)
"价"bounds: (68,344),(89,344),(89,365),(68,365)
":"bounds: (94,348),(99,348),(99,363),(94,363)
"-"bounds: (114,347),(118,347),(118,348),(114,348)
"早"bounds: (104,333),(133,331),(135,356),(106,358)
"109"bounds: (7,370),(134,372),(133,421),(6,419)
