
"LOREAL"bounds: (13,9),(128,9),(128,29),(13,29)
"!"bounds: (134,11),(136,11),(136,29),(134,29)
"欧莱雅"bounds: (142,11),(196,11),(196,26),(142,26)
"授权"bounds: (199,11),(235,11),(235,26),(199,26)
"专卖店"bounds: (237,12),(291,12),(291,26),(237,26)
"PARIS"bounds: (50,34),(84,34),(84,41),(50,41)
"|"bounds: (245,54),(248,54),(248,95),(245,95)
"买"bounds: (259,57),(297,57),(297,94),(259,94)
"1"bounds: (302,59),(316,59),(316,93),(302,93)
"送"bounds: (327,56),(365,56),(365,94),(327,94)
"21"bounds: (371,54),(402,54),(402,95),(371,95)
"50ml"bounds: (285,117),(308,117),(308,124),(285,124)
"款式"bounds: (310,116),(330,116),(330,125),(310,125)
"随机"bounds: (331,116),(352,116),(352,125),(331,125)
"OREAL"bounds: (245,129),(334,129),(334,143),(245,143)
"MEN"bounds: (235,145),(268,145),(268,155),(235,155)
"EXPERT"bounds: (273,145),(334,145),(334,155),(273,155)
"款式"bounds: (379,143),(398,143),(398,152),(379,152)
"随机"bounds: (399,143),(421,143),(421,152),(399,152)
"HYDRA"bounds: (294,178),(339,179),(339,188),(294,187)
"POWER"bounds: (289,190),(338,190),(338,200),(289,200)
"LOREAL"bounds: (54,188),(183,188),(183,212),(54,212)
"MEN"bounds: (54,215),(97,213),(98,228),(55,230)
"EXPERT"bounds: (104,215),(176,212),(177,228),(105,231)
"欧莱雅"bounds: (238,204),(257,204),(257,213),(238,213)
"男士"bounds: (259,204),(274,204),(274,211),(259,211)
"水能"bounds: (275,203),(293,203),(293,210),(275,210)
"規"bounds: (278,205),(292,204),(292,210),(278,211)
"詞"bounds: (294,205),(303,205),(303,212),(294,212)
"泽"bounds: (303,204),(312,204),(312,211),(303,211)
"ice"bounds: (347,198),(394,197),(394,212),(347,213)
"HYDRA"bounds: (74,244),(120,244),(120,254),(74,254)
"POWER"bounds: (77,256),(126,256),(126,265),(77,265)
"OL"bounds: (337,265),(348,266),(347,272),(336,271)
"欧莱雅"bounds: (76,272),(107,272),(107,282),(76,282)
"男士"bounds: (110,273),(130,273),(130,283),(110,283)
"水能"bounds: (132,272),(153,272),(153,283),(132,283)
"保湿"bounds: (155,272),(176,272),(176,282),(155,282)
"ON"bounds: (345,276),(358,275),(358,280),(345,281)
"润"bounds: (88,284),(98,284),(98,294),(88,294)
"乳"bounds: (100,284),(110,284),(110,294),(100,294)
"持续"bounds: (110,306),(122,305),(122,311),(110,312)
"滋润"bounds: (124,305),(137,304),(137,311),(124,312)
"保湿"bounds: (139,305),(152,304),(152,311),(139,312)
"或少"bounds: (110,315),(122,314),(122,321),(110,322)
"水分"bounds: (124,315),(137,314),(137,320),(124,321)
"流失"bounds: (139,315),(152,314),(152,320),(139,321)
"抢购"bounds: (18,343),(49,343),(49,358),(18,358)
"价"bounds: (51,343),(65,343),(65,358),(51,358)
":"bounds: (69,346),(72,346),(72,356),(69,356)
"加送"bounds: (230,347),(273,347),(273,369),(230,369)
"男士"bounds: (276,347),(319,347),(319,369),(276,369)
"面膜"bounds: (322,347),(366,347),(366,369),(322,369)
"x1"bounds: (369,348),(391,348),(391,366),(369,366)
"片"bounds: (398,347),(418,347),(418,369),(398,369)
".fe"bounds: (18,387),(70,387),(70,418),(18,418)
"9"bounds: (82,387),(100,387),(100,418),(82,418)
")"bounds: (100,389),(110,389),(110,418),(100,418)
"买"bounds: (115,389),(145,389),(145,417),(115,417)
"即送"bounds: (150,387),(215,387),(215,418),(150,418)
"欧莱雅"bounds: (218,387),(318,387),(318,418),(218,418)
"洗面奶"bounds: (322,387),(422,387),(422,418),(322,418)
