
"LOREAL"bounds: (11,11),(127,11),(127,31),(11,31)
"|"bounds: (133,14),(135,14),(135,31),(133,31)
"欧莱雅"bounds: (141,14),(195,14),(195,28),(141,28)
"授权"bounds: (197,13),(234,13),(234,28),(197,28)
"专卖店"bounds: (236,14),(290,14),(290,28),(236,28)
"PARIS"bounds: (49,36),(83,34),(83,43),(49,45)
"买"bounds: (234,68),(271,68),(271,105),(234,105)
"1"bounds: (280,67),(293,67),(293,102),(280,102)
"送"bounds: (305,65),(343,65),(344,105),(306,105)
"3"bounds: (349,68),(370,68),(370,104),(349,104)
"欧莱雅"bounds: (215,118),(250,118),(250,129),(215,129)
"洗面奶"bounds: (252,118),(287,118),(287,129),(252,129)
"50ml"bounds: (288,118),(315,118),(315,129),(288,129)
"+"bounds: (317,121),(322,121),(322,127),(317,127)
"男士"bounds: (324,118),(346,118),(346,130),(324,130)
"面膜"bounds: (348,118),(371,118),(371,130),(348,130)
"""bounds: (373,119),(378,119),(378,129),(373,129)
"2"bounds: (379,119),(384,119),(384,129),(379,129)
"OREA"bounds: (78,167),(130,167),(130,180),(78,180)
"MEN"bounds: (66,182),(92,182),(92,190),(66,190)
"EXP"bounds: (95,182),(118,182),(118,190),(95,190)
"LOREAL"bounds: (196,186),(293,186),(293,201),(196,201)
"MEN"bounds: (196,204),(228,204),(228,217),(196,217)
"EXPERTDD"bounds: (233,204),(318,204),(318,217),(233,217)
"赠"bounds: (299,202),(322,202),(322,228),(299,228)
"PURE"bounds: (266,240),(302,243),(301,252),(265,249)
"&"bounds: (246,252),(252,252),(252,261),(246,261)
"MATTE"bounds: (256,252),(298,254),(298,263),(256,261)
"HYDRA"bounds: (111,262),(142,262),(142,267),(111,267)
"欧莱雅"bounds: (196,271),(219,269),(220,276),(197,278)
"男士"bounds: (220,269),(235,268),(236,276),(221,277)
"ее"bounds: (302,264),(377,262),(377,276),(302,278)
"空"bounds: (200,279),(204,279),(204,287),(200,287)
"油"bounds: (205,279),(213,279),(213,286),(205,286)
"炭"bounds: (214,279),(221,279),(221,286),(214,286)
"爽"bounds: (223,278),(230,278),(230,286),(223,286)
"抗"bounds: (232,278),(240,278),(240,286),(232,286)
"黑头"bounds: (241,278),(257,278),(257,286),(241,286)
"洁面膏"bounds: (258,278),(283,278),(283,287),(258,287)
"_I"bounds: (288,279),(299,279),(299,287),(288,287)
"XPERT"bounds: (350,281),(377,281),(377,286),(350,286)
"欧莱雅"bounds: (65,282),(85,282),(85,288),(65,288)
"男士"bounds: (87,282),(99,282),(99,288),(87,288)
"水能"bounds: (101,282),(114,282),(114,288),(101,288)
"保湿"bounds: (116,282),(129,282),(129,288),(116,288)
"醇"bounds: (66,289),(72,289),(72,296),(66,296)
"真"bounds: (73,289),(80,289),(80,296),(73,296)
"水"bounds: (81,289),(88,289),(88,296),(81,296)
"凝露"bounds: (89,289),(104,289),(104,296),(89,296)
"("bounds: (297,283),(299,283),(299,287),(297,287)
"PERT"bounds: (300,283),(320,282),(320,287),(300,288)
"OL"bounds: (298,342),(309,343),(308,349),(297,348)
"R0"bounds: (349,340),(361,341),(360,347),(348,346)
"款"bounds: (184,363),(193,363),(193,373),(184,373)
"式"bounds: (184,376),(193,376),(193,385),(184,385)
"随"bounds: (184,388),(192,388),(192,398),(184,398)
"机"bounds: (184,400),(193,400),(193,411),(184,411)
"款"bounds: (411,360),(420,360),(420,370),(411,370)
"式"bounds: (411,372),(420,372),(420,382),(411,382)
"随"bounds: (411,384),(420,384),(420,394),(411,394)
"机"bounds: (411,397),(420,397),(420,408),(411,408)
