
"LOREAL"bounds: (13,8),(129,8),(129,28),(13,28)
"!"bounds: (135,10),(137,10),(137,28),(135,28)
"欧莱雅"bounds: (143,10),(197,10),(197,25),(143,25)
"授权"bounds: (199,10),(235,10),(235,25),(199,25)
"专卖店"bounds: (237,10),(292,10),(292,25),(237,25)
"PARIS"bounds: (50,33),(85,33),(85,40),(50,40)
"LOREAL"bounds: (51,74),(163,76),(163,98),(51,96)
"ORÉAL"bounds: (188,76),(358,78),(358,100),(188,98)
"MEN"bounds: (51,100),(92,100),(92,111),(51,111)
"EXPERT"bounds: (99,100),(174,100),(174,111),(99,111)
"MEN"bounds: (240,102),(283,102),(283,115),(240,115)
"EXPERT"bounds: (289,102),(368,102),(368,116),(289,116)
"HYDRA"bounds: (270,142),(329,142),(329,152),(270,152)
"POWER"bounds: (271,154),(331,154),(331,164),(271,164)
"PURE"bounds: (72,145),(115,144),(115,154),(72,155)
"&"bounds: (73,157),(81,157),(81,167),(73,167)
"MATTE"bounds: (87,156),(140,156),(140,166),(87,166)
"欧莱雅"bounds: (73,177),(104,177),(104,188),(73,188)
"男士"bounds: (105,177),(125,177),(125,188),(105,188)
"火山岩"bounds: (74,190),(104,190),(104,201),(74,201)
"控油"bounds: (104,191),(125,191),(125,201),(104,201)
"清"bounds: (126,191),(135,191),(135,201),(126,201)
"痘"bounds: (136,192),(146,192),(146,201),(136,201)
"洁面"bounds: (147,192),(167,192),(167,203),(147,203)
"7"bounds: (168,193),(171,193),(171,204),(168,204)
"欧莱雅"bounds: (271,175),(305,175),(305,185),(271,185)
"男士"bounds: (307,175),(330,175),(330,185),(307,185)
"水能"bounds: (331,176),(353,176),(353,186),(331,186)
"润"bounds: (354,177),(366,177),(366,187),(354,187)
"双"bounds: (272,189),(282,189),(282,199),(272,199)
"效"bounds: (283,189),(294,189),(294,199),(283,199)
"洁面膏"bounds: (295,189),(329,189),(329,199),(295,199)
"浄化"bounds: (287,209),(299,210),(299,216),(287,215)
"邦"bounds: (301,209),(306,209),(306,216),(301,216)
"洩"bounds: (308,209),(314,209),(314,215),(308,215)
"净"bounds: (106,213),(111,213),(111,220),(106,220)
"彻"bounds: (113,213),(119,213),(119,219),(113,219)
"毛孔"bounds: (121,214),(134,215),(134,222),(121,221)
"祛痘"bounds: (107,225),(119,225),(119,232),(107,232)
"擇"bounds: (121,225),(127,225),(127,232),(121,232)
"制"bounds: (128,225),(134,225),(134,232),(128,232)
"再生"bounds: (136,225),(150,224),(150,232),(136,233)
"1"bounds: (173,214),(185,214),(186,233),(174,233)
"控油"bounds: (190,215),(223,214),(224,229),(191,230)
"祛痘"bounds: (191,234),(223,233),(224,248),(192,249)
"平滑"bounds: (303,224),(315,225),(315,232),(303,231)
"胧"bounds: (317,225),(324,225),(324,231),(317,231)
"质"bounds: (324,224),(331,224),(331,231),(324,231)
"1"bounds: (379,224),(381,224),(381,229),(379,229)
"月"bounds: (383,223),(392,223),(392,230),(383,230)
"IA"bounds: (395,224),(409,224),(409,229),(395,229)
"早上"bounds: (58,379),(132,379),(132,414),(58,414)
"用"bounds: (138,380),(171,380),(171,414),(138,414)
"晚上"bounds: (249,379),(324,379),(324,413),(249,413)
"用"bounds: (328,380),(362,380),(362,413),(328,413)
