
"LOREAL"bounds: (12,9),(128,9),(128,29),(12,29)
"欧莱雅"bounds: (134,11),(196,11),(196,26),(134,26)
"授权"bounds: (198,11),(235,11),(235,26),(198,26)
"专卖店"bounds: (237,12),(291,12),(291,26),(237,26)
"PARIS"bounds: (50,34),(85,34),(85,42),(50,42)
"MEN"bounds: (22,97),(82,98),(82,115),(22,114)
"EXPERT"bounds: (84,91),(171,92),(171,116),(84,115)
"买一送一"bounds: (232,79),(397,81),(397,120),(232,118)
"!"bounds: (401,79),(406,79),(405,124),(400,124)
"款式"bounds: (333,141),(372,141),(372,159),(333,159)
"随机"bounds: (374,141),(413,141),(413,159),(374,159)
"HYDRA"bounds: (114,145),(177,148),(176,161),(113,158)
"POWER"bounds: (110,163),(176,163),(176,177),(110,177)
"欧莱雅"bounds: (35,184),(61,183),(61,195),(36,196)
"男士"bounds: (63,183),(86,182),(86,192),(63,193)
"水能"bounds: (86,182),(112,181),(112,192),(86,193)
"润泽"bounds: (113,183),(138,182),(138,193),(113,194)
"器"bounds: (36,198),(44,198),(45,210),(37,210)
"效"bounds: (44,198),(54,198),(54,209),(44,209)
"洁面膏"bounds: (55,196),(91,194),(91,206),(56,208)
"assuRA"bounds: (39,219),(74,219),(74,228),(39,228)
"+"bounds: (75,219),(80,219),(80,225),(75,225)
"G"bounds: (82,218),(87,218),(87,224),(82,224)
"-"bounds: (87,218),(91,218),(91,224),(87,224)
"Cylic"bounds: (92,218),(107,218),(107,225),(92,225)
"平滑"bounds: (108,218),(123,218),(123,225),(108,225)
"滋润"bounds: (124,218),(140,218),(140,225),(124,225)
"复合"bounds: (140,219),(154,219),(154,226),(140,226)
"成分"bounds: (155,220),(168,220),(168,228),(155,228)
"MEN"bounds: (269,230),(288,230),(288,236),(269,236)
"EXPERT"bounds: (291,230),(326,230),(326,236),(291,236)
"PERT"bounds: (362,233),(387,233),(387,239),(362,239)
"1"bounds: (48,237),(53,237),(53,251),(48,251)
"净化"bounds: (54,238),(71,238),(71,249),(54,249)
"排"bounds: (72,238),(80,238),(80,248),(72,248)
"浊"bounds: (82,237),(92,237),(92,248),(82,248)
"平滑"bounds: (108,236),(128,237),(128,248),(108,247)
"肤质"bounds: (129,237),(149,238),(149,248),(129,247)
"2"bounds: (151,236),(161,236),(160,249),(150,249)
"OILCONTROL"bounds: (239,302),(314,302),(314,310),(239,310)
"Oi"bounds: (361,304),(370,304),(370,312),(361,312)
"耐"bounds: (238,324),(246,323),(247,331),(239,332)
"士"bounds: (248,324),(257,323),(258,331),(249,332)
"男士"bounds: (239,334),(253,334),(253,341),(239,341)
"酷"bounds: (254,334),(261,334),(261,340),(254,340)
"爽"bounds: (263,334),(269,334),(269,341),(263,341)
"控油"bounds: (270,335),(285,335),(285,341),(270,341)
"补水"bounds: (287,334),(301,334),(301,340),(287,340)
"而"bounds: (303,334),(309,334),(309,340),(303,340)
"面膜"bounds: (364,337),(377,336),(377,342),(365,343)
"送"bounds: (23,383),(68,383),(68,425),(23,425)
"男士"bounds: (81,383),(181,383),(181,425),(81,425)
"面膜"bounds: (196,383),(296,383),(296,425),(196,425)
"两"bounds: (310,385),(353,385),(353,425),(310,425)
"片"bounds: (368,383),(410,383),(410,425),(368,425)
