
"LORÉAL"bounds: (10,6),(122,6),(122,24),(10,24)
"欧莱雅"bounds: (11,29),(72,29),(72,46),(11,46)
"授权"bounds: (76,38),(93,38),(93,46),(76,46)
"专卖店"bounds: (95,38),(121,38),(121,46),(95,46)
"买"bounds: (211,61),(257,59),(259,101),(213,103)
"一得"bounds: (261,62),(358,58),(360,102),(263,106)
"三"bounds: (362,61),(407,59),(409,99),(364,101)
"洁面膏"bounds: (224,124),(269,124),(269,138),(224,138)
"50ml"bounds: (271,125),(308,125),(308,137),(271,137)
"随机"bounds: (310,124),(341,124),(341,138),(310,138)
"+"bounds: (343,127),(350,127),(350,135),(343,135)
"面膜"bounds: (351,124),(381,124),(381,138),(351,138)
"X2"bounds: (384,125),(401,125),(401,137),(384,137)
"送"bounds: (198,192),(230,192),(230,224),(198,224)
"L'"bounds: (309,192),(321,192),(321,205),(309,205)
"Θ"bounds: (322,190),(341,190),(341,205),(322,205)
"REAL"bounds: (343,190),(403,190),(403,204),(343,204)
"MEN"bounds: (310,207),(341,207),(341,216),(310,216)
"EXPERT"bounds: (345,207),(403,207),(403,216),(345,216)
"MEN"bounds: (66,194),(89,194),(89,202),(66,202)
"EXPERT"bounds: (93,194),(135,194),(135,202),(93,202)
"PURE"bounds: (376,243),(407,245),(406,254),(375,252)
"&"bounds: (357,255),(363,255),(362,264),(357,264)
"MATTE"bounds: (366,255),(407,257),(406,266),(366,264)
"PURE"bounds: (115,270),(137,270),(137,276),(115,276)
"&MATTE"bounds: (101,279),(137,279),(137,284),(101,284)
"欧莱雅"bounds: (310,272),(332,271),(332,279),(310,280)
"男士"bounds: (334,271),(348,270),(348,277),(334,278)
"火山岩"bounds: (310,281),(334,281),(334,290),(310,290)
"控油"bounds: (335,281),(351,281),(351,289),(335,289)
"清"bounds: (352,281),(359,281),(359,288),(352,288)
"癍"bounds: (361,281),(367,281),(367,289),(361,289)
"洁面膏"bounds: (368,281),(394,281),(394,290),(368,290)
"欧莱雅"bounds: (64,288),(84,288),(84,294),(64,294)
"男士"bounds: (86,288),(99,288),(99,294),(86,294)
