
"LOREAL"bounds: (2,7),(119,7),(119,28),(2,28)
"欧莱雅"bounds: (125,9),(187,9),(187,24),(125,24)
"授权"bounds: (190,9),(225,9),(225,24),(190,24)
"专卖店"bounds: (228,9),(282,9),(282,24),(228,24)
"PARIS"bounds: (41,31),(75,31),(75,38),(41,38)
"控油"bounds: (182,34),(236,34),(236,60),(182,60)
"去"bounds: (238,34),(265,34),(265,59),(238,59)
"油"bounds: (268,35),(294,35),(294,60),(268,60)
"MEEREMTEM"bounds: (304,40),(420,41),(420,59),(304,58)
"补水"bounds: (181,62),(237,62),(237,88),(181,88)
"修复"bounds: (239,62),(295,62),(295,88),(239,88)
"0"bounds: (306,68),(315,68),(315,80),(306,80)
"%"bounds: (316,74),(324,74),(324,80),(316,80)
"添加"bounds: (325,67),(355,67),(355,81),(325,81)
"硅油"bounds: (356,67),(387,67),(387,81),(356,81)
"油性"bounds: (317,44),(335,44),(335,53),(317,53)
"发"bounds: (336,44),(345,44),(345,52),(336,52)
"根"bounds: (346,44),(354,44),(354,52),(346,52)
"干"bounds: (358,44),(367,44),(367,52),(358,52)
"性"bounds: (368,44),(377,44),(377,53),(368,53)
"发丝"bounds: (378,44),(396,44),(396,53),(378,53)
"定制"bounds: (398,44),(416,44),(416,53),(398,53)
"赠"bounds: (222,108),(236,108),(236,123),(222,123)
"洗护"bounds: (239,108),(271,108),(271,123),(239,123)
"中"bounds: (273,108),(287,108),(287,123),(273,123)
"样"bounds: (290,108),(305,108),(305,123),(290,123)
"50ml"bounds: (307,108),(350,108),(350,122),(307,122)
"+"bounds: (351,108),(357,108),(357,122),(351,122)
"发"bounds: (359,108),(374,108),(374,123),(359,123)
"带"bounds: (376,108),(391,108),(391,123),(376,123)
"L'ORÉAL"bounds: (69,161),(136,161),(136,174),(69,174)
"欧莱雅"bounds: (78,181),(112,181),(112,191),(78,191)
"美发"bounds: (114,181),(136,181),(136,191),(114,191)
"L'OREAL"bounds: (224,185),(287,185),(287,196),(224,196)
"巴黎"bounds: (235,203),(249,203),(249,209),(235,209)
"欧莱雅"bounds: (251,203),(274,203),(274,209),(251,209)
"A12"bounds: (69,202),(140,202),(140,221),(69,221)
"洗发"bounds: (120,221),(134,222),(134,229),(120,228)
"露"bounds: (135,222),(142,222),(142,228),(135,228)
"硅油"bounds: (68,238),(86,238),(86,246),(68,246)
"款"bounds: (187,354),(197,354),(197,364),(187,364)
"式"bounds: (187,366),(197,366),(197,376),(187,376)
"随"bounds: (187,378),(197,378),(197,388),(187,388)
"机"bounds: (187,391),(197,391),(197,401),(187,401)
