
"炭"bounds: (71,17),(97,17),(97,44),(71,44)
"爽"bounds: (102,17),(129,17),(129,44),(102,44)
"控油"bounds: (133,17),(192,17),(192,46),(133,46)
"磨砂"bounds: (206,17),(265,17),(265,45),(206,45)
"去"bounds: (269,17),(297,17),(297,44),(269,44)
"黑头"bounds: (302,17),(360,17),(360,45),(302,45)
"LOREAL"bounds: (30,97),(159,97),(159,118),(30,118)
"MEN"bounds: (30,121),(74,121),(74,134),(30,134)
"EXPERT"bounds: (80,121),(159,121),(159,134),(80,134)
"供"bounds: (294,107),(316,107),(316,132),(294,132)
"200ML"bounds: (319,107),(409,107),(409,130),(319,130)
"REAL"bounds: (178,128),(249,134),(247,151),(177,145)
"EXPERT"bounds: (180,151),(248,151),(248,162),(180,162)
"PURE"bounds: (52,168),(97,167),(97,178),(52,179)
"&"bounds: (53,181),(61,181),(61,192),(53,192)
"MATTE"bounds: (68,181),(124,181),(124,192),(68,192)
"URE"bounds: (169,193),(191,191),(192,201),(170,203)
"MATTE"bounds: (170,203),(217,203),(217,213),(170,213)
"欧莱雅"bounds: (54,203),(87,203),(87,214),(54,214)
"男士"bounds: (88,203),(109,203),(109,214),(88,214)
"控油"bounds: (54,216),(75,217),(75,228),(54,227)
"炭"bounds: (76,217),(86,217),(86,228),(76,228)
"爽"bounds: (87,216),(97,216),(97,227),(87,227)
"抗"bounds: (98,217),(109,217),(109,228),(98,228)
"黑头"bounds: (109,217),(131,218),(130,229),(109,228)
"洁"bounds: (132,218),(138,218),(138,229),(132,229)
"""bounds: (74,238),(76,238),(76,246),(74,246)
":"bounds: (77,238),(80,238),(80,246),(77,246)
"炭"bounds: (84,237),(90,237),(90,243),(84,243)
"磯"bounds: (92,236),(98,236),(98,243),(92,243)
"控油"bounds: (100,236),(114,235),(114,243),(100,244)
"·"bounds: (78,246),(79,246),(79,247),(78,247)
"去"bounds: (85,248),(91,248),(91,255),(85,255)
"黑头"bounds: (92,248),(106,248),(106,255),(92,255)
"净"bounds: (108,249),(114,249),(114,256),(108,256)
"毛孔"bounds: (116,249),(130,249),(130,256),(116,256)
"E"bounds: (181,223),(185,223),(185,232),(181,232)
"男士"bounds: (186,222),(204,223),(204,233),(186,232)
"炭"bounds: (176,235),(184,235),(184,244),(176,244)
"爽"bounds: (185,235),(194,235),(194,245),(185,245)
"抗"bounds: (195,235),(204,235),(204,245),(195,245)
"黑头"bounds: (204,235),(223,236),(223,245),(204,244)
"洁面"bounds: (224,236),(242,237),(242,246),(224,245)
"¥"bounds: (317,261),(328,261),(328,277),(317,277)
"41.9"bounds: (334,245),(415,244),(415,277),(334,278)
"大"bounds: (323,292),(350,292),(350,319),(323,319)
"容量"bounds: (353,292),(412,292),(412,319),(353,319)
"去"bounds: (183,261),(187,261),(187,267),(183,267)
"黑头"bounds: (189,261),(201,262),(201,268),(189,267)
"净"bounds: (203,262),(208,262),(208,268),(203,268)
"毛孔"bounds: (209,261),(221,262),(221,269),(209,268)
"赠"bounds: (283,335),(294,335),(294,347),(283,347)
"欧莱雅"bounds: (296,335),(334,335),(334,347),(296,347)
"洗面奶"bounds: (336,335),(375,335),(375,347),(336,347)
"50ML"bounds: (377,334),(418,334),(418,345),(377,345)
"("bounds: (369,349),(370,349),(370,358),(369,358)
"款式"bounds: (372,350),(390,350),(390,358),(372,358)
"随机"bounds: (392,349),(409,349),(409,358),(392,358)
")"bounds: (412,349),(414,349),(414,358),(412,358)
